open_time,open,high,low,close,volume,close_time
2024-10-26 07:00:00+03:00,1.033,1.035,1.013,1.015,119134.3,2024-10-26 10:59:59.999000+03:00
2024-10-26 11:00:00+03:00,1.015,1.029,1.008,1.022,205632.5,2024-10-26 14:59:59.999000+03:00
2024-10-26 15:00:00+03:00,1.021,1.023,0.969,0.976,312451.4,2024-10-26 18:59:59.999000+03:00
2024-10-26 19:00:00+03:00,0.975,0.992,0.974,0.991,161444.1,2024-10-26 22:59:59.999000+03:00
2024-10-26 23:00:00+03:00,0.989,0.997,0.986,0.987,70421.3,2024-10-27 02:59:59.999000+03:00
2024-10-27 03:00:00+03:00,0.987,0.994,0.984,0.99,76756.2,2024-10-27 06:59:59.999000+03:00
2024-10-27 07:00:00+03:00,0.991,0.992,0.975,0.977,34641.9,2024-10-27 10:59:59.999000+03:00
2024-10-27 11:00:00+03:00,0.977,0.981,0.964,0.969,62359.9,2024-10-27 14:59:59.999000+03:00
2024-10-27 15:00:00+03:00,0.969,0.984,0.969,0.98,131684.0,2024-10-27 18:59:59.999000+03:00
2024-10-27 19:00:00+03:00,0.98,1.018,0.98,1.016,200088.5,2024-10-27 22:59:59.999000+03:00
2024-10-27 23:00:00+03:00,1.017,1.034,1.01,1.021,201199.6,2024-10-28 02:59:59.999000+03:00
2024-10-28 03:00:00+03:00,1.021,1.024,0.982,0.982,83889.8,2024-10-28 06:59:59.999000+03:00
2024-10-28 07:00:00+03:00,0.983,1.0,0.971,0.995,130197.4,2024-10-28 10:59:59.999000+03:00
2024-10-28 11:00:00+03:00,0.994,1.0,0.984,0.992,108943.1,2024-10-28 14:59:59.999000+03:00
2024-10-28 15:00:00+03:00,0.992,1.004,0.974,0.978,171922.9,2024-10-28 18:59:59.999000+03:00
2024-10-28 19:00:00+03:00,0.978,1.0,0.968,0.99,255213.2,2024-10-28 22:59:59.999000+03:00
2024-10-28 23:00:00+03:00,0.99,1.018,0.988,1.004,154562.3,2024-10-29 02:59:59.999000+03:00
2024-10-29 03:00:00+03:00,1.003,1.044,1.003,1.043,98951.8,2024-10-29 06:59:59.999000+03:00
2024-10-29 07:00:00+03:00,1.043,1.085,1.039,1.065,876776.2,2024-10-29 10:59:59.999000+03:00
2024-10-29 11:00:00+03:00,1.067,1.074,1.053,1.056,198452.2,2024-10-29 14:59:59.999000+03:00
2024-10-29 15:00:00+03:00,1.057,1.07,1.056,1.067,129641.6,2024-10-29 18:59:59.999000+03:00
2024-10-29 19:00:00+03:00,1.069,1.081,1.055,1.058,242619.2,2024-10-29 22:59:59.999000+03:00
2024-10-29 23:00:00+03:00,1.057,1.064,1.046,1.056,137417.1,2024-10-30 02:59:59.999000+03:00
2024-10-30 03:00:00+03:00,1.057,1.083,1.046,1.081,160215.2,2024-10-30 06:59:59.999000+03:00
2024-10-30 07:00:00+03:00,1.081,1.101,1.075,1.078,317958.5,2024-10-30 10:59:59.999000+03:00
2024-10-30 11:00:00+03:00,1.079,1.086,1.058,1.061,122227.9,2024-10-30 14:59:59.999000+03:00
2024-10-30 15:00:00+03:00,1.062,1.077,1.055,1.069,177842.3,2024-10-30 18:59:59.999000+03:00
2024-10-30 19:00:00+03:00,1.067,1.076,1.06,1.069,82517.5,2024-10-30 22:59:59.999000+03:00
2024-10-30 23:00:00+03:00,1.07,1.078,1.057,1.067,105725.6,2024-10-31 02:59:59.999000+03:00
2024-10-31 03:00:00+03:00,1.066,1.081,1.063,1.078,161179.7,2024-10-31 06:59:59.999000+03:00
2024-10-31 07:00:00+03:00,1.078,1.08,1.049,1.055,148093.3,2024-10-31 10:59:59.999000+03:00
2024-10-31 11:00:00+03:00,1.053,1.053,1.022,1.037,130053.6,2024-10-31 14:59:59.999000+03:00
2024-10-31 15:00:00+03:00,1.036,1.04,1.01,1.021,319320.3,2024-10-31 18:59:59.999000+03:00
2024-10-31 19:00:00+03:00,1.021,1.025,0.985,0.995,163309.5,2024-10-31 22:59:59.999000+03:00
2024-10-31 23:00:00+03:00,0.995,1.005,0.991,0.998,76249.0,2024-11-01 02:59:59.999000+03:00
2024-11-01 03:00:00+03:00,0.997,1.003,0.969,0.981,152930.6,2024-11-01 06:59:59.999000+03:00
2024-11-01 07:00:00+03:00,0.98,0.985,0.96,0.972,99611.6,2024-11-01 10:59:59.999000+03:00
2024-11-01 11:00:00+03:00,0.973,1.044,0.972,1.027,523369.2,2024-11-01 14:59:59.999000+03:00
2024-11-01 15:00:00+03:00,1.027,1.096,1.023,1.038,894545.2,2024-11-01 18:59:59.999000+03:00
2024-11-01 19:00:00+03:00,1.039,1.088,1.038,1.072,750169.3,2024-11-01 22:59:59.999000+03:00
2024-11-01 23:00:00+03:00,1.072,1.092,1.053,1.075,519843.2,2024-11-02 02:59:59.999000+03:00
2024-11-02 03:00:00+03:00,1.076,1.147,1.074,1.123,1851707.9,2024-11-02 06:59:59.999000+03:00
2024-11-02 07:00:00+03:00,1.122,1.152,1.113,1.124,1413862.0,2024-11-02 10:59:59.999000+03:00
2024-11-02 11:00:00+03:00,1.123,1.15,1.116,1.134,1155344.0,2024-11-02 14:59:59.999000+03:00
2024-11-02 15:00:00+03:00,1.135,1.135,1.098,1.119,1196536.6,2024-11-02 18:59:59.999000+03:00
2024-11-02 19:00:00+03:00,1.12,1.142,1.112,1.138,647553.1,2024-11-02 22:59:59.999000+03:00
2024-11-02 23:00:00+03:00,1.136,1.149,1.127,1.134,611337.3,2024-11-03 02:59:59.999000+03:00
2024-11-03 03:00:00+03:00,1.133,1.146,1.092,1.123,961859.0,2024-11-03 06:59:59.999000+03:00
2024-11-03 07:00:00+03:00,1.121,1.139,1.112,1.132,578323.0,2024-11-03 10:59:59.999000+03:00
2024-11-03 11:00:00+03:00,1.133,1.181,1.126,1.163,1562155.9,2024-11-03 14:59:59.999000+03:00
2024-11-03 15:00:00+03:00,1.164,1.204,1.109,1.196,2414183.8,2024-11-03 18:59:59.999000+03:00
2024-11-03 19:00:00+03:00,1.195,1.308,1.161,1.273,2523449.0,2024-11-03 22:59:59.999000+03:00
2024-11-03 23:00:00+03:00,1.275,1.281,1.183,1.191,2169911.5,2024-11-04 02:59:59.999000+03:00
2024-11-04 03:00:00+03:00,1.191,1.244,1.168,1.187,1463405.4,2024-11-04 06:59:59.999000+03:00
2024-11-04 07:00:00+03:00,1.186,1.224,1.182,1.201,905526.2,2024-11-04 10:59:59.999000+03:00
2024-11-04 11:00:00+03:00,1.2,1.247,1.189,1.239,909982.4,2024-11-04 14:59:59.999000+03:00
2024-11-04 15:00:00+03:00,1.24,1.245,1.168,1.21,950304.6,2024-11-04 18:59:59.999000+03:00
2024-11-04 19:00:00+03:00,1.21,1.228,1.185,1.193,783036.3,2024-11-04 22:59:59.999000+03:00
2024-11-04 23:00:00+03:00,1.193,1.25,1.188,1.243,709515.9,2024-11-05 02:59:59.999000+03:00
2024-11-05 03:00:00+03:00,1.243,1.26,1.194,1.197,618536.0,2024-11-05 06:59:59.999000+03:00
2024-11-05 07:00:00+03:00,1.199,1.233,1.196,1.222,431332.3,2024-11-05 10:59:59.999000+03:00
2024-11-05 11:00:00+03:00,1.22,1.232,1.204,1.23,529644.6,2024-11-05 14:59:59.999000+03:00
2024-11-05 15:00:00+03:00,1.23,1.386,1.23,1.277,2388685.0,2024-11-05 18:59:59.999000+03:00
2024-11-05 19:00:00+03:00,1.276,1.322,1.27,1.283,641448.5,2024-11-05 22:59:59.999000+03:00
2024-11-05 23:00:00+03:00,1.283,1.304,1.244,1.25,502445.9,2024-11-06 02:59:59.999000+03:00
2024-11-06 03:00:00+03:00,1.249,1.36,1.247,1.335,1102909.0,2024-11-06 06:59:59.999000+03:00
2024-11-06 07:00:00+03:00,1.335,1.376,1.323,1.334,1173806.6,2024-11-06 10:59:59.999000+03:00
2024-11-06 11:00:00+03:00,1.335,1.413,1.314,1.346,1099333.5,2024-11-06 14:59:59.999000+03:00
2024-11-06 15:00:00+03:00,1.345,1.367,1.33,1.358,807686.5,2024-11-06 18:59:59.999000+03:00
2024-11-06 19:00:00+03:00,1.359,1.359,1.328,1.335,175611.1,2024-11-06 22:59:59.999000+03:00
2024-11-06 23:00:00+03:00,1.337,1.352,1.329,1.346,177441.9,2024-11-07 02:59:59.999000+03:00
2024-11-07 03:00:00+03:00,1.347,1.41,1.346,1.372,604871.1,2024-11-07 06:59:59.999000+03:00
2024-11-07 07:00:00+03:00,1.37,1.388,1.337,1.348,404373.6,2024-11-07 10:59:59.999000+03:00
2024-11-07 11:00:00+03:00,1.348,1.349,1.315,1.318,309142.7,2024-11-07 14:59:59.999000+03:00
2024-11-07 15:00:00+03:00,1.318,1.36,1.317,1.354,268401.1,2024-11-07 18:59:59.999000+03:00
2024-11-07 19:00:00+03:00,1.353,1.368,1.339,1.354,299941.2,2024-11-07 22:59:59.999000+03:00
2024-11-07 23:00:00+03:00,1.354,1.355,1.331,1.339,206818.7,2024-11-08 02:59:59.999000+03:00
2024-11-08 03:00:00+03:00,1.342,1.345,1.312,1.313,223494.3,2024-11-08 06:59:59.999000+03:00
2024-11-08 07:00:00+03:00,1.313,1.329,1.308,1.317,181083.1,2024-11-08 10:59:59.999000+03:00
2024-11-08 11:00:00+03:00,1.317,1.344,1.296,1.323,300445.8,2024-11-08 14:59:59.999000+03:00
2024-11-08 15:00:00+03:00,1.324,1.353,1.321,1.342,340828.3,2024-11-08 18:59:59.999000+03:00
2024-11-08 19:00:00+03:00,1.34,1.346,1.301,1.32,236898.6,2024-11-08 22:59:59.999000+03:00
2024-11-08 23:00:00+03:00,1.32,1.324,1.306,1.315,321208.0,2024-11-09 02:59:59.999000+03:00
2024-11-09 03:00:00+03:00,1.315,1.334,1.291,1.293,192700.9,2024-11-09 06:59:59.999000+03:00
2024-11-09 07:00:00+03:00,1.294,1.325,1.287,1.316,411476.9,2024-11-09 10:59:59.999000+03:00
2024-11-09 11:00:00+03:00,1.316,1.332,1.303,1.329,197509.7,2024-11-09 14:59:59.999000+03:00
2024-11-09 15:00:00+03:00,1.329,1.358,1.306,1.321,364747.4,2024-11-09 18:59:59.999000+03:00
2024-11-09 19:00:00+03:00,1.321,1.357,1.321,1.345,205369.2,2024-11-09 22:59:59.999000+03:00
2024-11-09 23:00:00+03:00,1.344,1.404,1.342,1.397,245127.9,2024-11-10 02:59:59.999000+03:00
2024-11-10 03:00:00+03:00,1.396,1.508,1.393,1.496,1122295.2,2024-11-10 06:59:59.999000+03:00
2024-11-10 07:00:00+03:00,1.495,1.602,1.46,1.58,1785320.9,2024-11-10 10:59:59.999000+03:00
2024-11-10 11:00:00+03:00,1.579,1.684,1.554,1.644,3377733.9,2024-11-10 14:59:59.999000+03:00
2024-11-10 15:00:00+03:00,1.644,1.714,1.54,1.558,2696120.6,2024-11-10 18:59:59.999000+03:00
2024-11-10 19:00:00+03:00,1.558,1.61,1.545,1.602,946764.1,2024-11-10 22:59:59.999000+03:00
2024-11-10 23:00:00+03:00,1.602,1.631,1.518,1.625,877935.8,2024-11-11 02:59:59.999000+03:00
2024-11-11 03:00:00+03:00,1.625,1.68,1.597,1.654,915510.9,2024-11-11 06:59:59.999000+03:00
2024-11-11 07:00:00+03:00,1.655,1.66,1.565,1.592,560765.6,2024-11-11 10:59:59.999000+03:00
2024-11-11 11:00:00+03:00,1.591,1.611,1.582,1.6,457031.9,2024-11-11 14:59:59.999000+03:00
2024-11-11 15:00:00+03:00,1.6,1.606,1.543,1.593,596754.0,2024-11-11 18:59:59.999000+03:00
