open_time,open,high,low,close,volume,close_time
2024-10-24 15:00:00+03:00,9.93,10.41,9.91,10.23,1445530.32,2024-10-24 18:59:59.999000+03:00
2024-10-24 19:00:00+03:00,10.23,10.33,10.16,10.26,533319.1,2024-10-24 22:59:59.999000+03:00
2024-10-24 23:00:00+03:00,10.26,10.43,10.16,10.19,482581.82,2024-10-25 02:59:59.999000+03:00
2024-10-25 03:00:00+03:00,10.19,10.24,9.99,10.02,716044.55,2024-10-25 06:59:59.999000+03:00
2024-10-25 07:00:00+03:00,10.01,10.06,9.77,9.97,704693.39,2024-10-25 10:59:59.999000+03:00
2024-10-25 11:00:00+03:00,9.97,10.04,9.85,9.99,402552.23,2024-10-25 14:59:59.999000+03:00
2024-10-25 15:00:00+03:00,9.99,10.05,9.77,9.83,713783.81,2024-10-25 18:59:59.999000+03:00
2024-10-25 19:00:00+03:00,9.83,9.88,9.31,9.44,1366177.68,2024-10-25 22:59:59.999000+03:00
2024-10-25 23:00:00+03:00,9.44,9.51,8.46,8.95,2417791.36,2024-10-26 02:59:59.999000+03:00
2024-10-26 03:00:00+03:00,8.95,8.95,8.7,8.89,1177504.24,2024-10-26 06:59:59.999000+03:00
2024-10-26 07:00:00+03:00,8.89,9.17,8.81,9.12,757304.62,2024-10-26 10:59:59.999000+03:00
2024-10-26 11:00:00+03:00,9.12,9.33,9.11,9.26,691280.87,2024-10-26 14:59:59.999000+03:00
2024-10-26 15:00:00+03:00,9.26,9.28,8.91,9.02,744406.94,2024-10-26 18:59:59.999000+03:00
2024-10-26 19:00:00+03:00,9.03,9.32,8.96,9.26,664993.94,2024-10-26 22:59:59.999000+03:00
2024-10-26 23:00:00+03:00,9.26,9.32,9.22,9.31,235023.08,2024-10-27 02:59:59.999000+03:00
2024-10-27 03:00:00+03:00,9.31,9.39,9.22,9.36,288635.2,2024-10-27 06:59:59.999000+03:00
2024-10-27 07:00:00+03:00,9.36,9.37,9.09,9.18,475149.23,2024-10-27 10:59:59.999000+03:00
2024-10-27 11:00:00+03:00,9.18,9.25,9.1,9.19,289797.64,2024-10-27 14:59:59.999000+03:00
2024-10-27 15:00:00+03:00,9.2,9.32,9.16,9.22,310057.8,2024-10-27 18:59:59.999000+03:00
2024-10-27 19:00:00+03:00,9.23,9.26,9.07,9.1,333778.96,2024-10-27 22:59:59.999000+03:00
2024-10-27 23:00:00+03:00,9.1,9.27,9.08,9.2,343150.97,2024-10-28 02:59:59.999000+03:00
2024-10-28 03:00:00+03:00,9.2,9.21,8.71,8.73,702780.82,2024-10-28 06:59:59.999000+03:00
2024-10-28 07:00:00+03:00,8.73,9.18,8.71,9.11,960216.38,2024-10-28 10:59:59.999000+03:00
2024-10-28 11:00:00+03:00,9.11,9.27,8.97,9.0,832087.4,2024-10-28 14:59:59.999000+03:00
2024-10-28 15:00:00+03:00,9.0,9.1,8.81,8.86,1129522.49,2024-10-28 18:59:59.999000+03:00
2024-10-28 19:00:00+03:00,8.86,9.12,8.73,9.02,690937.81,2024-10-28 22:59:59.999000+03:00
2024-10-28 23:00:00+03:00,9.02,9.31,9.01,9.21,594695.18,2024-10-29 02:59:59.999000+03:00
2024-10-29 03:00:00+03:00,9.21,9.82,9.2,9.78,1432929.8,2024-10-29 06:59:59.999000+03:00
2024-10-29 07:00:00+03:00,9.78,9.85,9.5,9.64,766572.06,2024-10-29 10:59:59.999000+03:00
2024-10-29 11:00:00+03:00,9.63,9.8,9.54,9.79,582712.88,2024-10-29 14:59:59.999000+03:00
2024-10-29 15:00:00+03:00,9.79,10.2,9.78,9.95,1523143.42,2024-10-29 18:59:59.999000+03:00
2024-10-29 19:00:00+03:00,9.96,10.11,9.83,9.86,1046327.57,2024-10-29 22:59:59.999000+03:00
2024-10-29 23:00:00+03:00,9.86,10.1,9.73,10.04,562455.0,2024-10-30 02:59:59.999000+03:00
2024-10-30 03:00:00+03:00,10.04,10.22,9.99,10.1,706124.05,2024-10-30 06:59:59.999000+03:00
2024-10-30 07:00:00+03:00,10.1,10.15,9.94,9.95,432229.12,2024-10-30 10:59:59.999000+03:00
2024-10-30 11:00:00+03:00,9.95,9.99,9.75,9.79,452440.22,2024-10-30 14:59:59.999000+03:00
2024-10-30 15:00:00+03:00,9.79,9.98,9.66,9.74,943662.05,2024-10-30 18:59:59.999000+03:00
2024-10-30 19:00:00+03:00,9.73,9.83,9.71,9.73,431671.0,2024-10-30 22:59:59.999000+03:00
2024-10-30 23:00:00+03:00,9.73,9.9,9.68,9.8,549565.25,2024-10-31 02:59:59.999000+03:00
2024-10-31 03:00:00+03:00,9.8,9.81,9.62,9.67,349710.98,2024-10-31 06:59:59.999000+03:00
2024-10-31 07:00:00+03:00,9.67,9.74,9.59,9.63,319359.43,2024-10-31 10:59:59.999000+03:00
2024-10-31 11:00:00+03:00,9.63,9.63,9.38,9.42,938374.62,2024-10-31 14:59:59.999000+03:00
2024-10-31 15:00:00+03:00,9.42,9.47,9.2,9.46,1028936.19,2024-10-31 18:59:59.999000+03:00
2024-10-31 19:00:00+03:00,9.46,9.47,9.13,9.14,478904.54,2024-10-31 22:59:59.999000+03:00
2024-10-31 23:00:00+03:00,9.15,9.25,9.08,9.1,545205.82,2024-11-01 02:59:59.999000+03:00
2024-11-01 03:00:00+03:00,9.09,9.19,8.94,9.04,456081.53,2024-11-01 06:59:59.999000+03:00
2024-11-01 07:00:00+03:00,9.04,9.08,8.8,8.85,410126.33,2024-11-01 10:59:59.999000+03:00
2024-11-01 11:00:00+03:00,8.85,9.06,8.82,8.99,605073.35,2024-11-01 14:59:59.999000+03:00
2024-11-01 15:00:00+03:00,9.0,9.31,8.67,8.73,1400312.62,2024-11-01 18:59:59.999000+03:00
