open_time,open,high,low,close,volume,close_time
2024-10-24 15:00:00+03:00,8.206,8.303,8.186,8.25,6244.13,2024-10-24 18:59:59.999000+03:00
2024-10-24 19:00:00+03:00,8.248,8.398,8.238,8.398,2912.33,2024-10-24 22:59:59.999000+03:00
2024-10-24 23:00:00+03:00,8.393,8.439,8.359,8.42,3062.71,2024-10-25 02:59:59.999000+03:00
2024-10-25 03:00:00+03:00,8.417,8.493,8.377,8.377,6914.22,2024-10-25 06:59:59.999000+03:00
2024-10-25 07:00:00+03:00,8.378,8.384,8.27,8.301,3920.95,2024-10-25 10:59:59.999000+03:00
2024-10-25 11:00:00+03:00,8.304,8.391,8.249,8.384,3637.87,2024-10-25 14:59:59.999000+03:00
2024-10-25 15:00:00+03:00,8.386,8.401,8.201,8.216,2800.28,2024-10-25 18:59:59.999000+03:00
2024-10-25 19:00:00+03:00,8.22,8.254,8.064,8.114,6715.79,2024-10-25 22:59:59.999000+03:00
2024-10-25 23:00:00+03:00,8.109,8.22,7.831,7.895,13376.04,2024-10-26 02:59:59.999000+03:00
2024-10-26 03:00:00+03:00,7.901,7.908,7.768,7.897,7730.18,2024-10-26 06:59:59.999000+03:00
2024-10-26 07:00:00+03:00,7.896,7.936,7.87,7.885,1919.02,2024-10-26 10:59:59.999000+03:00
2024-10-26 11:00:00+03:00,7.879,7.924,7.837,7.916,3996.36,2024-10-26 14:59:59.999000+03:00
2024-10-26 15:00:00+03:00,7.916,7.943,7.745,7.817,6158.1,2024-10-26 18:59:59.999000+03:00
2024-10-26 19:00:00+03:00,7.817,7.891,7.787,7.888,1928.94,2024-10-26 22:59:59.999000+03:00
2024-10-26 23:00:00+03:00,7.888,7.916,7.845,7.882,1768.92,2024-10-27 02:59:59.999000+03:00
2024-10-27 03:00:00+03:00,7.882,7.885,7.79,7.847,2456.06,2024-10-27 06:59:59.999000+03:00
2024-10-27 07:00:00+03:00,7.843,7.849,7.812,7.83,1304.33,2024-10-27 10:59:59.999000+03:00
2024-10-27 11:00:00+03:00,7.827,7.832,7.738,7.768,2915.54,2024-10-27 14:59:59.999000+03:00
2024-10-27 15:00:00+03:00,7.763,7.954,7.757,7.954,2663.73,2024-10-27 18:59:59.999000+03:00
2024-10-27 19:00:00+03:00,7.951,7.963,7.864,7.892,2960.34,2024-10-27 22:59:59.999000+03:00
