open_time,open,high,low,close,volume,close_time
2024-10-24 15:00:00+03:00,2.0,2.01,1.984,1.996,152712.6,2024-10-24 18:59:59.999000+03:00
2024-10-24 19:00:00+03:00,2.0,2.026,1.992,2.02,228361.8,2024-10-24 22:59:59.999000+03:00
2024-10-24 23:00:00+03:00,2.022,2.039,2.002,2.008,141177.9,2024-10-25 02:59:59.999000+03:00
2024-10-25 03:00:00+03:00,2.009,2.012,1.98,2.002,89229.9,2024-10-25 06:59:59.999000+03:00
2024-10-25 07:00:00+03:00,2.002,2.004,1.955,1.965,96252.5,2024-10-25 10:59:59.999000+03:00
2024-10-25 11:00:00+03:00,1.965,1.996,1.95,1.981,114593.9,2024-10-25 14:59:59.999000+03:00
2024-10-25 15:00:00+03:00,1.98,1.996,1.947,1.959,65175.7,2024-10-25 18:59:59.999000+03:00
2024-10-25 19:00:00+03:00,1.957,1.978,1.924,1.948,173736.1,2024-10-25 22:59:59.999000+03:00
2024-10-25 23:00:00+03:00,1.949,1.965,1.801,1.875,420021.6,2024-10-26 02:59:59.999000+03:00
2024-10-26 03:00:00+03:00,1.873,1.89,1.85,1.888,142343.2,2024-10-26 06:59:59.999000+03:00
2024-10-26 07:00:00+03:00,1.888,1.894,1.865,1.868,86518.0,2024-10-26 10:59:59.999000+03:00
2024-10-26 11:00:00+03:00,1.867,1.883,1.861,1.875,81720.1,2024-10-26 14:59:59.999000+03:00
2024-10-26 15:00:00+03:00,1.875,1.876,1.819,1.833,114635.3,2024-10-26 18:59:59.999000+03:00
2024-10-26 19:00:00+03:00,1.833,1.857,1.828,1.856,60481.2,2024-10-26 22:59:59.999000+03:00
2024-10-26 23:00:00+03:00,1.856,1.87,1.852,1.865,62975.7,2024-10-27 02:59:59.999000+03:00
2024-10-27 03:00:00+03:00,1.867,1.873,1.856,1.871,45820.7,2024-10-27 06:59:59.999000+03:00
2024-10-27 07:00:00+03:00,1.871,1.878,1.863,1.866,41852.6,2024-10-27 10:59:59.999000+03:00
2024-10-27 11:00:00+03:00,1.866,1.871,1.846,1.847,48520.6,2024-10-27 14:59:59.999000+03:00
2024-10-27 15:00:00+03:00,1.848,1.885,1.847,1.88,68246.4,2024-10-27 18:59:59.999000+03:00
2024-10-27 19:00:00+03:00,1.884,1.9,1.875,1.88,104158.2,2024-10-27 22:59:59.999000+03:00
2024-10-27 23:00:00+03:00,1.881,1.905,1.876,1.903,57678.5,2024-10-28 02:59:59.999000+03:00
2024-10-28 03:00:00+03:00,1.903,1.909,1.862,1.862,58350.8,2024-10-28 06:59:59.999000+03:00
2024-10-28 07:00:00+03:00,1.861,1.896,1.849,1.887,107695.9,2024-10-28 10:59:59.999000+03:00
2024-10-28 11:00:00+03:00,1.888,1.891,1.861,1.867,108083.1,2024-10-28 14:59:59.999000+03:00
2024-10-28 15:00:00+03:00,1.867,1.88,1.843,1.847,174686.7,2024-10-28 18:59:59.999000+03:00
2024-10-28 19:00:00+03:00,1.846,1.87,1.829,1.859,131717.3,2024-10-28 22:59:59.999000+03:00
2024-10-28 23:00:00+03:00,1.861,1.904,1.86,1.9,174249.7,2024-10-29 02:59:59.999000+03:00
2024-10-29 03:00:00+03:00,1.902,1.942,1.897,1.935,141746.1,2024-10-29 06:59:59.999000+03:00
2024-10-29 07:00:00+03:00,1.936,1.944,1.928,1.934,19634.9,2024-10-29 10:59:59.999000+03:00
2024-10-29 11:00:00+03:00,1.934,1.956,1.934,1.95,87828.0,2024-10-29 14:59:59.999000+03:00
2024-10-29 15:00:00+03:00,1.951,1.96,1.938,1.947,100765.8,2024-10-29 18:59:59.999000+03:00
2024-10-29 19:00:00+03:00,1.947,1.988,1.947,1.954,175485.6,2024-10-29 22:59:59.999000+03:00
2024-10-29 23:00:00+03:00,1.955,1.985,1.939,1.985,98973.1,2024-10-30 02:59:59.999000+03:00
2024-10-30 03:00:00+03:00,1.985,1.99,1.967,1.984,84394.0,2024-10-30 06:59:59.999000+03:00
2024-10-30 07:00:00+03:00,1.986,1.986,1.964,1.972,106045.7,2024-10-30 10:59:59.999000+03:00
2024-10-30 11:00:00+03:00,1.971,1.993,1.956,1.958,148182.0,2024-10-30 14:59:59.999000+03:00
2024-10-30 15:00:00+03:00,1.959,1.991,1.939,1.953,221625.1,2024-10-30 18:59:59.999000+03:00
2024-10-30 19:00:00+03:00,1.954,1.963,1.943,1.947,72096.9,2024-10-30 22:59:59.999000+03:00
