open_time,open,high,low,close,volume,close_time
2024-10-24 15:00:00+03:00,69.9,71.13,69.68,70.93,53574.63,2024-10-24 18:59:59.999000+03:00
2024-10-24 19:00:00+03:00,70.93,71.26,70.81,71.08,38553.035,2024-10-24 22:59:59.999000+03:00
2024-10-24 23:00:00+03:00,71.08,71.33,70.75,71.18,37699.877,2024-10-25 02:59:59.999000+03:00
2024-10-25 03:00:00+03:00,71.18,71.55,70.86,71.34,29616.963,2024-10-25 06:59:59.999000+03:00
2024-10-25 07:00:00+03:00,71.35,71.72,70.76,71.25,57170.876,2024-10-25 10:59:59.999000+03:00
2024-10-25 11:00:00+03:00,71.26,71.85,70.92,71.77,46588.272,2024-10-25 14:59:59.999000+03:00
2024-10-25 15:00:00+03:00,71.78,72.28,71.72,72.0,65588.833,2024-10-25 18:59:59.999000+03:00
2024-10-25 19:00:00+03:00,72.0,72.16,70.01,70.91,91701.069,2024-10-25 22:59:59.999000+03:00
2024-10-25 23:00:00+03:00,70.9,71.16,66.79,68.84,119830.951,2024-10-26 02:59:59.999000+03:00
2024-10-26 03:00:00+03:00,68.83,69.72,68.3,69.37,77840.0,2024-10-26 06:59:59.999000+03:00
2024-10-26 07:00:00+03:00,69.36,69.65,68.86,68.97,38782.122,2024-10-26 10:59:59.999000+03:00
2024-10-26 11:00:00+03:00,68.97,69.25,68.84,68.87,26750.643,2024-10-26 14:59:59.999000+03:00
2024-10-26 15:00:00+03:00,68.87,68.99,68.07,68.38,40448.222,2024-10-26 18:59:59.999000+03:00
2024-10-26 19:00:00+03:00,68.39,68.66,68.12,68.53,28848.737,2024-10-26 22:59:59.999000+03:00
2024-10-26 23:00:00+03:00,68.52,68.91,68.27,68.47,35795.473,2024-10-27 02:59:59.999000+03:00
2024-10-27 03:00:00+03:00,68.47,69.14,68.0,69.11,35098.129,2024-10-27 06:59:59.999000+03:00
2024-10-27 07:00:00+03:00,69.11,69.17,68.76,68.91,20642.951,2024-10-27 10:59:59.999000+03:00
2024-10-27 11:00:00+03:00,68.92,69.71,68.92,69.71,25034.976,2024-10-27 14:59:59.999000+03:00
2024-10-27 15:00:00+03:00,69.7,70.86,69.61,70.74,44988.344,2024-10-27 18:59:59.999000+03:00
2024-10-27 19:00:00+03:00,70.74,71.05,70.45,70.91,31257.056,2024-10-27 22:59:59.999000+03:00
2024-10-27 23:00:00+03:00,70.91,71.22,70.52,71.06,31660.597,2024-10-28 02:59:59.999000+03:00
