open_time,open,high,low,close,volume,close_time
2024-12-09 15:00:00+03:00,0.02,0.8776,0.02,0.7145,432392743.8,2024-12-09 18:59:59.999000+03:00
2024-12-09 19:00:00+03:00,0.7145,0.866,0.7002,0.8327,274360255.3,2024-12-09 22:59:59.999000+03:00
2024-12-09 23:00:00+03:00,0.8327,0.8411,0.666,0.7348,151853651.7,2024-12-10 02:59:59.999000+03:00
2024-12-10 03:00:00+03:00,0.7352,1.111,0.7111,0.9159,340409018.8,2024-12-10 06:59:59.999000+03:00
2024-12-10 07:00:00+03:00,0.9152,1.41,0.9038,1.0347,274070921.6,2024-12-10 10:59:59.999000+03:00
2024-12-10 11:00:00+03:00,1.0342,1.0389,0.8572,0.8865,145744414.7,2024-12-10 14:59:59.999000+03:00
2024-12-10 15:00:00+03:00,0.8865,0.8891,0.6739,0.6923,192911416.0,2024-12-10 18:59:59.999000+03:00
2024-12-10 19:00:00+03:00,0.6923,0.7519,0.6014,0.6392,78365264.1,2024-12-10 22:59:59.999000+03:00
2024-12-10 23:00:00+03:00,0.6391,0.7496,0.6337,0.7391,57703451.8,2024-12-11 02:59:59.999000+03:00
2024-12-11 03:00:00+03:00,0.739,0.8643,0.648,0.6876,156439920.2,2024-12-11 06:59:59.999000+03:00
2024-12-11 07:00:00+03:00,0.6873,0.7041,0.6488,0.6506,41866198.8,2024-12-11 10:59:59.999000+03:00
2024-12-11 11:00:00+03:00,0.651,0.7005,0.64,0.6943,48826971.4,2024-12-11 14:59:59.999000+03:00
2024-12-11 15:00:00+03:00,0.6945,0.722,0.662,0.713,52108392.6,2024-12-11 18:59:59.999000+03:00
2024-12-11 19:00:00+03:00,0.7131,0.7247,0.6872,0.698,47578264.9,2024-12-11 22:59:59.999000+03:00
2024-12-11 23:00:00+03:00,0.6983,0.76,0.6958,0.75,40599245.6,2024-12-12 02:59:59.999000+03:00
2024-12-12 03:00:00+03:00,0.7502,0.7777,0.697,0.7046,43033900.1,2024-12-12 06:59:59.999000+03:00
2024-12-12 07:00:00+03:00,0.7044,0.715,0.6939,0.6998,22849765.5,2024-12-12 10:59:59.999000+03:00
2024-12-12 11:00:00+03:00,0.6996,0.7113,0.6726,0.6822,25939672.8,2024-12-12 14:59:59.999000+03:00
2024-12-12 15:00:00+03:00,0.6826,0.6924,0.664,0.6747,21795822.1,2024-12-12 18:59:59.999000+03:00
2024-12-12 19:00:00+03:00,0.6747,0.6949,0.656,0.659,24876139.8,2024-12-12 22:59:59.999000+03:00
2024-12-12 23:00:00+03:00,0.6591,0.6639,0.6359,0.6489,18072754.7,2024-12-13 02:59:59.999000+03:00
2024-12-13 03:00:00+03:00,0.6488,0.6493,0.6102,0.6419,27347857.1,2024-12-13 06:59:59.999000+03:00
2024-12-13 07:00:00+03:00,0.6419,0.6484,0.6259,0.6352,17819999.8,2024-12-13 10:59:59.999000+03:00
2024-12-13 11:00:00+03:00,0.6353,0.6373,0.6186,0.631,16089265.2,2024-12-13 14:59:59.999000+03:00
2024-12-13 15:00:00+03:00,0.6308,0.6335,0.6038,0.6051,19255423.8,2024-12-13 18:59:59.999000+03:00
2024-12-13 19:00:00+03:00,0.605,0.6279,0.5924,0.6147,16852407.9,2024-12-13 22:59:59.999000+03:00
2024-12-13 23:00:00+03:00,0.6149,0.6245,0.6118,0.6202,5793396.2,2024-12-14 02:59:59.999000+03:00
2024-12-14 03:00:00+03:00,0.6203,0.692,0.6101,0.6849,44058846.2,2024-12-14 06:59:59.999000+03:00
2024-12-14 07:00:00+03:00,0.6848,0.6937,0.6433,0.6469,22484552.9,2024-12-14 10:59:59.999000+03:00
2024-12-14 11:00:00+03:00,0.647,0.6527,0.6247,0.6381,11549676.9,2024-12-14 14:59:59.999000+03:00
2024-12-14 15:00:00+03:00,0.6376,0.6417,0.6101,0.6214,14215601.5,2024-12-14 18:59:59.999000+03:00
2024-12-14 19:00:00+03:00,0.6213,0.6304,0.6109,0.6194,11285723.0,2024-12-14 22:59:59.999000+03:00
2024-12-14 23:00:00+03:00,0.6192,0.6399,0.6048,0.6382,10238315.5,2024-12-15 02:59:59.999000+03:00
2024-12-15 03:00:00+03:00,0.638,0.6382,0.604,0.6143,20276858.9,2024-12-15 06:59:59.999000+03:00
2024-12-15 07:00:00+03:00,0.6142,0.6227,0.5973,0.6032,9445887.5,2024-12-15 10:59:59.999000+03:00
2024-12-15 11:00:00+03:00,0.6029,0.6191,0.6016,0.6131,5960965.1,2024-12-15 14:59:59.999000+03:00
2024-12-15 15:00:00+03:00,0.6131,0.6418,0.6086,0.6348,10277273.3,2024-12-15 18:59:59.999000+03:00
2024-12-15 19:00:00+03:00,0.6347,0.6431,0.6238,0.6324,8779178.5,2024-12-15 22:59:59.999000+03:00
2024-12-15 23:00:00+03:00,0.6324,0.6365,0.6101,0.6328,7785153.8,2024-12-16 02:59:59.999000+03:00
2024-12-16 03:00:00+03:00,0.6328,0.6806,0.6272,0.6411,24626906.5,2024-12-16 06:59:59.999000+03:00
2024-12-16 07:00:00+03:00,0.641,0.6506,0.6217,0.6318,11684120.5,2024-12-16 10:59:59.999000+03:00
2024-12-16 11:00:00+03:00,0.6317,0.6384,0.5995,0.6058,19888322.6,2024-12-16 14:59:59.999000+03:00
2024-12-16 15:00:00+03:00,0.6061,0.6178,0.5916,0.6129,15238957.5,2024-12-16 18:59:59.999000+03:00
2024-12-16 19:00:00+03:00,0.6128,0.6331,0.6083,0.6229,10123857.6,2024-12-16 22:59:59.999000+03:00
2024-12-16 23:00:00+03:00,0.6231,0.6356,0.6153,0.6213,8420419.6,2024-12-17 02:59:59.999000+03:00
2024-12-17 03:00:00+03:00,0.6214,0.6267,0.6,0.6097,15408074.4,2024-12-17 06:59:59.999000+03:00
2024-12-17 07:00:00+03:00,0.6099,0.6218,0.6,0.6155,13086319.6,2024-12-17 10:59:59.999000+03:00
2024-12-17 11:00:00+03:00,0.6153,0.6353,0.6072,0.6294,17986575.6,2024-12-17 14:59:59.999000+03:00
