open_time,open,high,low,close,volume,close_time
2024-10-25 23:00:00+03:00,9.28e-06,9.41e-06,8.43e-06,8.78e-06,8909422643858.0,2024-10-26 02:59:59.999000+03:00
2024-10-26 03:00:00+03:00,8.79e-06,9.04e-06,8.63e-06,8.97e-06,4920083207189.0,2024-10-26 06:59:59.999000+03:00
2024-10-26 07:00:00+03:00,8.96e-06,9.1e-06,8.89e-06,9e-06,2142449090372.0,2024-10-26 10:59:59.999000+03:00
2024-10-26 11:00:00+03:00,9.01e-06,9.12e-06,8.98e-06,9.06e-06,1519584074695.0,2024-10-26 14:59:59.999000+03:00
2024-10-26 15:00:00+03:00,9.06e-06,9.1e-06,8.76e-06,8.88e-06,3204088439378.0,2024-10-26 18:59:59.999000+03:00
2024-10-26 19:00:00+03:00,8.88e-06,9.05e-06,8.83e-06,9e-06,2263550087254.0,2024-10-26 22:59:59.999000+03:00
2024-10-26 23:00:00+03:00,9.01e-06,9.12e-06,8.99e-06,9.08e-06,2090536389686.0,2024-10-27 02:59:59.999000+03:00
2024-10-27 03:00:00+03:00,9.08e-06,9.14e-06,8.95e-06,9.13e-06,1906574666888.0,2024-10-27 06:59:59.999000+03:00
2024-10-27 07:00:00+03:00,9.14e-06,9.18e-06,9.06e-06,9.09e-06,1604862672209.0,2024-10-27 10:59:59.999000+03:00
2024-10-27 11:00:00+03:00,9.1e-06,9.13e-06,8.93e-06,8.96e-06,1723351326992.0,2024-10-27 14:59:59.999000+03:00
2024-10-27 15:00:00+03:00,8.96e-06,9.17e-06,8.96e-06,9.13e-06,2361937193604.0,2024-10-27 18:59:59.999000+03:00
2024-10-27 19:00:00+03:00,9.12e-06,9.22e-06,8.93e-06,9.03e-06,1874534440385.0,2024-10-27 22:59:59.999000+03:00
2024-10-27 23:00:00+03:00,9.03e-06,9.29e-06,9.01e-06,9.17e-06,1845146847143.0,2024-10-28 02:59:59.999000+03:00
2024-10-28 03:00:00+03:00,9.17e-06,9.2e-06,8.83e-06,8.86e-06,2369757604926.0,2024-10-28 06:59:59.999000+03:00
2024-10-28 07:00:00+03:00,8.86e-06,9.06e-06,8.77e-06,8.98e-06,2658964407769.0,2024-10-28 10:59:59.999000+03:00
2024-10-28 11:00:00+03:00,8.98e-06,9.05e-06,8.89e-06,8.92e-06,2459655541464.0,2024-10-28 14:59:59.999000+03:00
2024-10-28 15:00:00+03:00,8.93e-06,9.01e-06,8.65e-06,8.7e-06,4453046459876.0,2024-10-28 18:59:59.999000+03:00
2024-10-28 19:00:00+03:00,8.7e-06,8.98e-06,8.58e-06,8.93e-06,3569861774781.0,2024-10-28 22:59:59.999000+03:00
2024-10-28 23:00:00+03:00,8.94e-06,9.44e-06,8.9e-06,9.18e-06,4290464741207.0,2024-10-29 02:59:59.999000+03:00
2024-10-29 03:00:00+03:00,9.17e-06,9.69e-06,9.13e-06,9.47e-06,5235578445209.0,2024-10-29 06:59:59.999000+03:00
2024-10-29 07:00:00+03:00,9.48e-06,9.57e-06,9.43e-06,9.48e-06,2294885289610.0,2024-10-29 10:59:59.999000+03:00
2024-10-29 11:00:00+03:00,9.48e-06,9.73e-06,9.45e-06,9.62e-06,2625715874807.0,2024-10-29 14:59:59.999000+03:00
2024-10-29 15:00:00+03:00,9.62e-06,9.78e-06,9.49e-06,9.76e-06,3962011581567.0,2024-10-29 18:59:59.999000+03:00
2024-10-29 19:00:00+03:00,9.76e-06,9.92e-06,9.53e-06,9.54e-06,5021275445341.0,2024-10-29 22:59:59.999000+03:00
2024-10-29 23:00:00+03:00,9.54e-06,9.68e-06,9.39e-06,9.67e-06,3093267507507.0,2024-10-30 02:59:59.999000+03:00
2024-10-30 03:00:00+03:00,9.67e-06,9.7e-06,9.46e-06,9.56e-06,2786585661162.0,2024-10-30 06:59:59.999000+03:00
2024-10-30 07:00:00+03:00,9.57e-06,9.68e-06,9.43e-06,9.46e-06,2329471063271.0,2024-10-30 10:59:59.999000+03:00
2024-10-30 11:00:00+03:00,9.46e-06,9.55e-06,9.31e-06,9.33e-06,2778103524853.0,2024-10-30 14:59:59.999000+03:00
2024-10-30 15:00:00+03:00,9.34e-06,1.012e-05,9.27e-06,9.59e-06,11540720121613.0,2024-10-30 18:59:59.999000+03:00
2024-10-30 19:00:00+03:00,9.6e-06,9.92e-06,9.57e-06,9.63e-06,3435483744605.0,2024-10-30 22:59:59.999000+03:00
2024-10-30 23:00:00+03:00,9.63e-06,9.82e-06,9.57e-06,9.64e-06,1999154755049.0,2024-10-31 02:59:59.999000+03:00
2024-10-31 03:00:00+03:00,9.64e-06,9.71e-06,9.47e-06,9.55e-06,1902081198652.0,2024-10-31 06:59:59.999000+03:00
2024-10-31 07:00:00+03:00,9.55e-06,9.68e-06,9.48e-06,9.55e-06,1612148540634.0,2024-10-31 10:59:59.999000+03:00
2024-10-31 11:00:00+03:00,9.56e-06,9.57e-06,9.42e-06,9.48e-06,1586898254615.0,2024-10-31 14:59:59.999000+03:00
2024-10-31 15:00:00+03:00,9.48e-06,9.53e-06,9.23e-06,9.31e-06,4282587885332.0,2024-10-31 18:59:59.999000+03:00
2024-10-31 19:00:00+03:00,9.31e-06,9.35e-06,9e-06,9.03e-06,3507475063504.0,2024-10-31 22:59:59.999000+03:00
2024-10-31 23:00:00+03:00,9.03e-06,9.19e-06,9e-06,9.11e-06,1761588192454.0,2024-11-01 02:59:59.999000+03:00
2024-11-01 03:00:00+03:00,9.12e-06,9.19e-06,8.9e-06,9.01e-06,2407229602770.0,2024-11-01 06:59:59.999000+03:00
2024-11-01 07:00:00+03:00,9.01e-06,9.09e-06,8.84e-06,8.92e-06,1628464055726.0,2024-11-01 10:59:59.999000+03:00
2024-11-01 11:00:00+03:00,8.93e-06,9.14e-06,8.9e-06,9.09e-06,1704745631111.0,2024-11-01 14:59:59.999000+03:00
2024-11-01 15:00:00+03:00,9.09e-06,9.35e-06,8.83e-06,8.95e-06,5078726173736.0,2024-11-01 18:59:59.999000+03:00
2024-11-01 19:00:00+03:00,8.94e-06,9.11e-06,8.83e-06,8.92e-06,2918256416642.0,2024-11-01 22:59:59.999000+03:00
2024-11-01 23:00:00+03:00,8.92e-06,9e-06,8.72e-06,8.89e-06,1859940813329.0,2024-11-02 02:59:59.999000+03:00
2024-11-02 03:00:00+03:00,8.89e-06,9e-06,8.87e-06,8.9e-06,1412494570265.0,2024-11-02 06:59:59.999000+03:00
2024-11-02 07:00:00+03:00,8.9e-06,8.96e-06,8.82e-06,8.95e-06,1067992457877.0,2024-11-02 10:59:59.999000+03:00
2024-11-02 11:00:00+03:00,8.96e-06,8.99e-06,8.84e-06,8.86e-06,979871312438.0,2024-11-02 14:59:59.999000+03:00
2024-11-02 15:00:00+03:00,8.87e-06,8.91e-06,8.57e-06,8.7e-06,2995983948594.0,2024-11-02 18:59:59.999000+03:00
2024-11-02 19:00:00+03:00,8.7e-06,8.78e-06,8.54e-06,8.71e-06,1786472494702.0,2024-11-02 22:59:59.999000+03:00
2024-11-02 23:00:00+03:00,8.7e-06,8.76e-06,8.63e-06,8.72e-06,835475541299.0,2024-11-03 02:59:59.999000+03:00
2024-11-03 03:00:00+03:00,8.72e-06,8.73e-06,8.2e-06,8.35e-06,4036814363811.0,2024-11-03 06:59:59.999000+03:00
2024-11-03 07:00:00+03:00,8.35e-06,8.47e-06,8.33e-06,8.41e-06,1122529957784.0,2024-11-03 10:59:59.999000+03:00
2024-11-03 11:00:00+03:00,8.41e-06,8.43e-06,8.23e-06,8.27e-06,1600728942523.0,2024-11-03 14:59:59.999000+03:00
2024-11-03 15:00:00+03:00,8.26e-06,8.32e-06,7.88e-06,8.07e-06,5942929691073.0,2024-11-03 18:59:59.999000+03:00
2024-11-03 19:00:00+03:00,8.06e-06,8.17e-06,7.87e-06,8.13e-06,3675070445790.0,2024-11-03 22:59:59.999000+03:00
2024-11-03 23:00:00+03:00,8.13e-06,8.25e-06,8.08e-06,8.18e-06,2438868978808.0,2024-11-04 02:59:59.999000+03:00
2024-11-04 03:00:00+03:00,8.17e-06,8.38e-06,8.03e-06,8.22e-06,2686229859539.0,2024-11-04 06:59:59.999000+03:00
2024-11-04 07:00:00+03:00,8.22e-06,8.3e-06,8.09e-06,8.13e-06,1984505652381.0,2024-11-04 10:59:59.999000+03:00
2024-11-04 11:00:00+03:00,8.13e-06,8.3e-06,8.05e-06,8.28e-06,3173609044776.0,2024-11-04 14:59:59.999000+03:00
2024-11-04 15:00:00+03:00,8.28e-06,8.35e-06,8.07e-06,8.13e-06,3943804571467.0,2024-11-04 18:59:59.999000+03:00
2024-11-04 19:00:00+03:00,8.14e-06,8.19e-06,7.98e-06,8.03e-06,3083674429488.0,2024-11-04 22:59:59.999000+03:00
2024-11-04 23:00:00+03:00,8.03e-06,8.05e-06,7.71e-06,7.92e-06,3946196276516.0,2024-11-05 02:59:59.999000+03:00
2024-11-05 03:00:00+03:00,7.92e-06,8.12e-06,7.92e-06,8.09e-06,2468855062428.0,2024-11-05 06:59:59.999000+03:00
2024-11-05 07:00:00+03:00,8.08e-06,8.22e-06,8.08e-06,8.19e-06,2557238086093.0,2024-11-05 10:59:59.999000+03:00
2024-11-05 11:00:00+03:00,8.19e-06,8.32e-06,8.14e-06,8.23e-06,2119634758208.0,2024-11-05 14:59:59.999000+03:00
2024-11-05 15:00:00+03:00,8.24e-06,8.65e-06,8.17e-06,8.53e-06,5791629870722.0,2024-11-05 18:59:59.999000+03:00
2024-11-05 19:00:00+03:00,8.53e-06,8.82e-06,8.36e-06,8.4e-06,5338798952683.0,2024-11-05 22:59:59.999000+03:00
2024-11-05 23:00:00+03:00,8.41e-06,8.6e-06,8.36e-06,8.56e-06,3141790435925.0,2024-11-06 02:59:59.999000+03:00
2024-11-06 03:00:00+03:00,8.56e-06,9.68e-06,8.56e-06,9.44e-06,14296678432864.0,2024-11-06 06:59:59.999000+03:00
2024-11-06 07:00:00+03:00,9.45e-06,9.67e-06,9.24e-06,9.38e-06,11224348444201.0,2024-11-06 10:59:59.999000+03:00
2024-11-06 11:00:00+03:00,9.38e-06,9.54e-06,9.05e-06,9.5e-06,7759112763162.0,2024-11-06 14:59:59.999000+03:00
2024-11-06 15:00:00+03:00,9.5e-06,9.55e-06,9.18e-06,9.25e-06,6265229056155.0,2024-11-06 18:59:59.999000+03:00
2024-11-06 19:00:00+03:00,9.25e-06,9.53e-06,9.2e-06,9.51e-06,3764831579034.0,2024-11-06 22:59:59.999000+03:00
2024-11-06 23:00:00+03:00,9.51e-06,1.005e-05,9.38e-06,9.89e-06,7238083479389.0,2024-11-07 02:59:59.999000+03:00
2024-11-07 03:00:00+03:00,9.9e-06,1.098e-05,9.84e-06,1.056e-05,13164660095247.0,2024-11-07 06:59:59.999000+03:00
2024-11-07 07:00:00+03:00,1.055e-05,1.064e-05,1.007e-05,1.024e-05,7502180366943.0,2024-11-07 10:59:59.999000+03:00
2024-11-07 11:00:00+03:00,1.025e-05,1.048e-05,1.023e-05,1.035e-05,5092671643097.0,2024-11-07 14:59:59.999000+03:00
2024-11-07 15:00:00+03:00,1.035e-05,1.054e-05,1.012e-05,1.052e-05,5535632559937.0,2024-11-07 18:59:59.999000+03:00
2024-11-07 19:00:00+03:00,1.052e-05,1.065e-05,1.03e-05,1.064e-05,6905448631039.0,2024-11-07 22:59:59.999000+03:00
2024-11-07 23:00:00+03:00,1.065e-05,1.105e-05,1.046e-05,1.099e-05,8799510148184.0,2024-11-08 02:59:59.999000+03:00
2024-11-08 03:00:00+03:00,1.1e-05,1.149e-05,1.07e-05,1.085e-05,10312526840971.0,2024-11-08 06:59:59.999000+03:00
2024-11-08 07:00:00+03:00,1.085e-05,1.105e-05,1.067e-05,1.084e-05,4826338628218.0,2024-11-08 10:59:59.999000+03:00
2024-11-08 11:00:00+03:00,1.084e-05,1.09e-05,1.065e-05,1.078e-05,3705203323586.0,2024-11-08 14:59:59.999000+03:00
2024-11-08 15:00:00+03:00,1.078e-05,1.11e-05,1.061e-05,1.079e-05,7179056509838.0,2024-11-08 18:59:59.999000+03:00
2024-11-08 19:00:00+03:00,1.078e-05,1.087e-05,1.027e-05,1.08e-05,7554048324017.0,2024-11-08 22:59:59.999000+03:00
2024-11-08 23:00:00+03:00,1.08e-05,1.09e-05,1.058e-05,1.076e-05,3591396740380.0,2024-11-09 02:59:59.999000+03:00
2024-11-09 03:00:00+03:00,1.077e-05,1.103e-05,1.045e-05,1.048e-05,6005659058934.0,2024-11-09 06:59:59.999000+03:00
2024-11-09 07:00:00+03:00,1.048e-05,1.108e-05,1.048e-05,1.093e-05,6459916053531.0,2024-11-09 10:59:59.999000+03:00
2024-11-09 11:00:00+03:00,1.093e-05,1.148e-05,1.093e-05,1.119e-05,9137510542718.0,2024-11-09 14:59:59.999000+03:00
2024-11-09 15:00:00+03:00,1.119e-05,1.128e-05,1.067e-05,1.078e-05,5212899600888.0,2024-11-09 18:59:59.999000+03:00
2024-11-09 19:00:00+03:00,1.078e-05,1.092e-05,1.053e-05,1.076e-05,4477026105840.0,2024-11-09 22:59:59.999000+03:00
2024-11-09 23:00:00+03:00,1.077e-05,1.135e-05,1.073e-05,1.12e-05,6069302538527.0,2024-11-10 02:59:59.999000+03:00
2024-11-10 03:00:00+03:00,1.119e-05,1.164e-05,1.1e-05,1.136e-05,11914180929158.0,2024-11-10 06:59:59.999000+03:00
2024-11-10 07:00:00+03:00,1.136e-05,1.164e-05,1.126e-05,1.141e-05,9371665945326.0,2024-11-10 10:59:59.999000+03:00
2024-11-10 11:00:00+03:00,1.141e-05,1.211e-05,1.137e-05,1.207e-05,9988243422301.0,2024-11-10 14:59:59.999000+03:00
2024-11-10 15:00:00+03:00,1.207e-05,1.285e-05,1.177e-05,1.254e-05,20176789674812.0,2024-11-10 18:59:59.999000+03:00
2024-11-10 19:00:00+03:00,1.254e-05,1.299e-05,1.214e-05,1.229e-05,16954601595970.0,2024-11-10 22:59:59.999000+03:00
2024-11-10 23:00:00+03:00,1.228e-05,1.251e-05,1.141e-05,1.232e-05,15573715995392.0,2024-11-11 02:59:59.999000+03:00
2024-11-11 03:00:00+03:00,1.232e-05,1.315e-05,1.22e-05,1.281e-05,12741811972035.0,2024-11-11 06:59:59.999000+03:00
2024-11-11 07:00:00+03:00,1.28e-05,1.282e-05,1.175e-05,1.205e-05,9694113495465.0,2024-11-11 10:59:59.999000+03:00
2024-11-11 11:00:00+03:00,1.205e-05,1.257e-05,1.193e-05,1.245e-05,7848865030034.0,2024-11-11 14:59:59.999000+03:00
2024-11-11 15:00:00+03:00,1.245e-05,1.264e-05,1.186e-05,1.245e-05,13099899637650.0,2024-11-11 18:59:59.999000+03:00
2024-11-11 19:00:00+03:00,1.245e-05,1.336e-05,1.242e-05,1.298e-05,19776953039030.0,2024-11-11 22:59:59.999000+03:00
2024-11-11 23:00:00+03:00,1.299e-05,1.345e-05,1.257e-05,1.299e-05,14139927717766.0,2024-11-12 02:59:59.999000+03:00
2024-11-12 03:00:00+03:00,1.299e-05,1.302e-05,1.234e-05,1.276e-05,10989825424042.0,2024-11-12 06:59:59.999000+03:00
2024-11-12 07:00:00+03:00,1.275e-05,1.459e-05,1.267e-05,1.443e-05,24587781621243.0,2024-11-12 10:59:59.999000+03:00
2024-11-12 11:00:00+03:00,1.443e-05,1.49e-05,1.234e-05,1.311e-05,29522410625433.0,2024-11-12 14:59:59.999000+03:00
2024-11-12 15:00:00+03:00,1.311e-05,1.329e-05,1.229e-05,1.279e-05,17119924654043.0,2024-11-12 18:59:59.999000+03:00
2024-11-12 19:00:00+03:00,1.278e-05,1.371e-05,1.234e-05,1.361e-05,13088304405897.0,2024-11-12 22:59:59.999000+03:00
2024-11-12 23:00:00+03:00,1.361e-05,1.47e-05,1.336e-05,1.413e-05,13960259620819.0,2024-11-13 02:59:59.999000+03:00
2024-11-13 03:00:00+03:00,1.412e-05,1.487e-05,1.307e-05,1.308e-05,15793881529706.0,2024-11-13 06:59:59.999000+03:00
2024-11-13 07:00:00+03:00,1.307e-05,1.343e-05,1.249e-05,1.298e-05,10249246898356.0,2024-11-13 10:59:59.999000+03:00
2024-11-13 11:00:00+03:00,1.297e-05,1.341e-05,1.266e-05,1.335e-05,9370935589551.0,2024-11-13 14:59:59.999000+03:00
2024-11-13 15:00:00+03:00,1.336e-05,1.999e-05,1.304e-05,1.933e-05,89045156282028.0,2024-11-13 18:59:59.999000+03:00
2024-11-13 19:00:00+03:00,1.933e-05,2.244e-05,1.79e-05,1.818e-05,67272997500785.0,2024-11-13 22:59:59.999000+03:00
2024-11-13 23:00:00+03:00,1.818e-05,2.149e-05,1.767e-05,2.081e-05,27735589845173.0,2024-11-14 02:59:59.999000+03:00
2024-11-14 03:00:00+03:00,2.082e-05,2.597e-05,2.041e-05,2.362e-05,50397594483796.0,2024-11-14 06:59:59.999000+03:00
2024-11-14 07:00:00+03:00,2.361e-05,2.469e-05,2.21e-05,2.283e-05,17976411921614.0,2024-11-14 10:59:59.999000+03:00
2024-11-14 11:00:00+03:00,2.284e-05,2.346e-05,2.038e-05,2.126e-05,21328175061439.0,2024-11-14 14:59:59.999000+03:00
2024-11-14 15:00:00+03:00,2.125e-05,2.261e-05,2.007e-05,2.074e-05,25930559800144.0,2024-11-14 18:59:59.999000+03:00
2024-11-14 19:00:00+03:00,2.074e-05,2.344e-05,2.043e-05,2.255e-05,20985792500991.0,2024-11-14 22:59:59.999000+03:00
2024-11-14 23:00:00+03:00,2.254e-05,2.256e-05,2.01e-05,2.065e-05,14746500462089.0,2024-11-15 02:59:59.999000+03:00
2024-11-15 03:00:00+03:00,2.065e-05,2.179e-05,2.035e-05,2.11e-05,14287060633496.0,2024-11-15 06:59:59.999000+03:00
2024-11-15 07:00:00+03:00,2.11e-05,2.121e-05,1.88e-05,1.972e-05,15332029722161.0,2024-11-15 10:59:59.999000+03:00
2024-11-15 11:00:00+03:00,1.971e-05,2.207e-05,1.948e-05,2.149e-05,13992336842698.0,2024-11-15 14:59:59.999000+03:00
2024-11-15 15:00:00+03:00,2.15e-05,2.28e-05,2.006e-05,2.037e-05,15243405400153.0,2024-11-15 18:59:59.999000+03:00
2024-11-15 19:00:00+03:00,2.036e-05,2.25e-05,2.025e-05,2.206e-05,14300294282365.0,2024-11-15 22:59:59.999000+03:00
2024-11-15 23:00:00+03:00,2.206e-05,2.4e-05,2.176e-05,2.333e-05,13158558691301.0,2024-11-16 02:59:59.999000+03:00
2024-11-16 03:00:00+03:00,2.333e-05,2.366e-05,2.248e-05,2.285e-05,10162250119885.0,2024-11-16 06:59:59.999000+03:00
2024-11-16 07:00:00+03:00,2.285e-05,2.308e-05,2.175e-05,2.191e-05,6879771131639.0,2024-11-16 10:59:59.999000+03:00
2024-11-16 11:00:00+03:00,2.191e-05,2.215e-05,2.144e-05,2.211e-05,6046030480129.0,2024-11-16 14:59:59.999000+03:00
2024-11-16 15:00:00+03:00,2.211e-05,2.229e-05,2.064e-05,2.102e-05,10034362608954.0,2024-11-16 18:59:59.999000+03:00
2024-11-16 19:00:00+03:00,2.102e-05,2.142e-05,2.07e-05,2.123e-05,5061310125983.0,2024-11-16 22:59:59.999000+03:00
2024-11-16 23:00:00+03:00,2.123e-05,2.158e-05,2.087e-05,2.13e-05,5009009467345.0,2024-11-17 02:59:59.999000+03:00
2024-11-17 03:00:00+03:00,2.129e-05,2.17e-05,1.943e-05,2.042e-05,10968636131710.0,2024-11-17 06:59:59.999000+03:00
2024-11-17 07:00:00+03:00,2.042e-05,2.199e-05,2.033e-05,2.189e-05,7370649677425.0,2024-11-17 10:59:59.999000+03:00
2024-11-17 11:00:00+03:00,2.189e-05,2.203e-05,2.047e-05,2.059e-05,6731902745833.0,2024-11-17 14:59:59.999000+03:00
2024-11-17 15:00:00+03:00,2.058e-05,2.186e-05,2.051e-05,2.149e-05,6162656914618.0,2024-11-17 18:59:59.999000+03:00
2024-11-17 19:00:00+03:00,2.149e-05,2.258e-05,2.074e-05,2.128e-05,10558552650396.0,2024-11-17 22:59:59.999000+03:00
2024-11-17 23:00:00+03:00,2.129e-05,2.177e-05,2.072e-05,2.121e-05,7072613896595.0,2024-11-18 02:59:59.999000+03:00
2024-11-18 03:00:00+03:00,2.121e-05,2.178e-05,2.084e-05,2.129e-05,5445743034890.0,2024-11-18 06:59:59.999000+03:00
2024-11-18 07:00:00+03:00,2.13e-05,2.178e-05,2.087e-05,2.138e-05,5253074316544.0,2024-11-18 10:59:59.999000+03:00
2024-11-18 11:00:00+03:00,2.138e-05,2.277e-05,2.075e-05,2.087e-05,10595599397614.0,2024-11-18 14:59:59.999000+03:00
2024-11-18 15:00:00+03:00,2.088e-05,2.148e-05,2.039e-05,2.131e-05,9630013482175.0,2024-11-18 18:59:59.999000+03:00
2024-11-18 19:00:00+03:00,2.131e-05,2.135e-05,1.959e-05,2.002e-05,9217359113172.0,2024-11-18 22:59:59.999000+03:00
2024-11-18 23:00:00+03:00,2.002e-05,2.057e-05,1.975e-05,2.048e-05,6043314213680.0,2024-11-19 02:59:59.999000+03:00
2024-11-19 03:00:00+03:00,2.047e-05,2.073e-05,2.011e-05,2.056e-05,4133181583287.0,2024-11-19 06:59:59.999000+03:00
2024-11-19 07:00:00+03:00,2.056e-05,2.061e-05,1.986e-05,2.033e-05,4366097085951.0,2024-11-19 10:59:59.999000+03:00
2024-11-19 11:00:00+03:00,2.034e-05,2.045e-05,1.992e-05,2.008e-05,3806032800320.0,2024-11-19 14:59:59.999000+03:00
2024-11-19 15:00:00+03:00,2.008e-05,2.085e-05,1.974e-05,2.02e-05,9026116188813.0,2024-11-19 18:59:59.999000+03:00
2024-11-19 19:00:00+03:00,2.02e-05,2.122e-05,2e-05,2.067e-05,8831845570480.0,2024-11-19 22:59:59.999000+03:00
2024-11-19 23:00:00+03:00,2.067e-05,2.086e-05,1.892e-05,1.968e-05,9948785461365.0,2024-11-20 02:59:59.999000+03:00
2024-11-20 03:00:00+03:00,1.969e-05,1.986e-05,1.871e-05,1.976e-05,6455607435002.0,2024-11-20 06:59:59.999000+03:00
2024-11-20 07:00:00+03:00,1.976e-05,2.056e-05,1.961e-05,2.033e-05,6057464049646.0,2024-11-20 10:59:59.999000+03:00
2024-11-20 11:00:00+03:00,2.032e-05,2.059e-05,1.96e-05,1.996e-05,5513038329745.0,2024-11-20 14:59:59.999000+03:00
2024-11-20 15:00:00+03:00,1.996e-05,2.056e-05,1.959e-05,1.996e-05,8133519349215.0,2024-11-20 18:59:59.999000+03:00
2024-11-20 19:00:00+03:00,1.997e-05,2.013e-05,1.835e-05,1.851e-05,10294479153820.0,2024-11-20 22:59:59.999000+03:00
2024-11-20 23:00:00+03:00,1.851e-05,1.919e-05,1.83e-05,1.876e-05,4080906594263.0,2024-11-21 02:59:59.999000+03:00
2024-11-21 03:00:00+03:00,1.877e-05,1.943e-05,1.804e-05,1.868e-05,6818346443297.0,2024-11-21 06:59:59.999000+03:00
2024-11-21 07:00:00+03:00,1.869e-05,1.982e-05,1.844e-05,1.94e-05,8062212172739.0,2024-11-21 10:59:59.999000+03:00
2024-11-21 11:00:00+03:00,1.94e-05,1.958e-05,1.885e-05,1.929e-05,3751118513944.0,2024-11-21 14:59:59.999000+03:00
2024-11-21 15:00:00+03:00,1.928e-05,2.17e-05,1.925e-05,2.025e-05,22562234041576.0,2024-11-21 18:59:59.999000+03:00
2024-11-21 19:00:00+03:00,2.026e-05,2.12e-05,2.02e-05,2.052e-05,8021673472526.0,2024-11-21 22:59:59.999000+03:00
2024-11-21 23:00:00+03:00,2.052e-05,2.121e-05,2.048e-05,2.07e-05,4659623521975.0,2024-11-22 02:59:59.999000+03:00
2024-11-22 03:00:00+03:00,2.07e-05,2.157e-05,1.994e-05,2.144e-05,7581255279577.0,2024-11-22 06:59:59.999000+03:00
2024-11-22 07:00:00+03:00,2.144e-05,2.184e-05,2.082e-05,2.086e-05,6568009356400.0,2024-11-22 10:59:59.999000+03:00
2024-11-22 11:00:00+03:00,2.086e-05,2.135e-05,2.069e-05,2.109e-05,4491300748550.0,2024-11-22 14:59:59.999000+03:00
2024-11-22 15:00:00+03:00,2.109e-05,2.112e-05,2.004e-05,2.053e-05,7291793941634.0,2024-11-22 18:59:59.999000+03:00
2024-11-22 19:00:00+03:00,2.054e-05,2.054e-05,1.977e-05,2.002e-05,4710092890135.0,2024-11-22 22:59:59.999000+03:00
2024-11-22 23:00:00+03:00,2.003e-05,2.065e-05,1.996e-05,2.064e-05,3316749539092.0,2024-11-23 02:59:59.999000+03:00
2024-11-23 03:00:00+03:00,2.064e-05,2.094e-05,1.968e-05,2.041e-05,7069753628808.0,2024-11-23 06:59:59.999000+03:00
2024-11-23 07:00:00+03:00,2.041e-05,2.179e-05,2.038e-05,2.115e-05,11484706601114.0,2024-11-23 10:59:59.999000+03:00
2024-11-23 11:00:00+03:00,2.114e-05,2.232e-05,2.109e-05,2.144e-05,8800876985370.0,2024-11-23 14:59:59.999000+03:00
2024-11-23 15:00:00+03:00,2.144e-05,2.234e-05,2.138e-05,2.17e-05,7537614044936.0,2024-11-23 18:59:59.999000+03:00
2024-11-23 19:00:00+03:00,2.171e-05,2.174e-05,2.02e-05,2.046e-05,9131715058908.0,2024-11-23 22:59:59.999000+03:00
2024-11-23 23:00:00+03:00,2.045e-05,2.085e-05,2e-05,2.049e-05,3686078490525.0,2024-11-24 02:59:59.999000+03:00
2024-11-24 03:00:00+03:00,2.05e-05,2.122e-05,2.038e-05,2.088e-05,3731011933411.0,2024-11-24 06:59:59.999000+03:00
2024-11-24 07:00:00+03:00,2.088e-05,2.098e-05,2.045e-05,2.077e-05,2804460232084.0,2024-11-24 10:59:59.999000+03:00
2024-11-24 11:00:00+03:00,2.076e-05,2.081e-05,1.982e-05,1.989e-05,5095295748431.0,2024-11-24 14:59:59.999000+03:00
2024-11-24 15:00:00+03:00,1.989e-05,2.014e-05,1.904e-05,1.918e-05,9232134564850.0,2024-11-24 18:59:59.999000+03:00
2024-11-24 19:00:00+03:00,1.918e-05,1.983e-05,1.908e-05,1.966e-05,4469852077456.0,2024-11-24 22:59:59.999000+03:00
2024-11-24 23:00:00+03:00,1.965e-05,2.037e-05,1.96e-05,2.02e-05,2928128584189.0,2024-11-25 02:59:59.999000+03:00
2024-11-25 03:00:00+03:00,2.021e-05,2.023e-05,1.948e-05,2.004e-05,3220387750813.0,2024-11-25 06:59:59.999000+03:00
