open_time,open,high,low,close,volume,close_time
2024-11-11 11:00:00+03:00,0.1047,0.48,0.1047,0.4543,161899418.2,2024-11-11 14:59:59.999000+03:00
2024-11-11 15:00:00+03:00,0.4543,0.464,0.378,0.4057,196530787.9,2024-11-11 18:59:59.999000+03:00
2024-11-11 19:00:00+03:00,0.4054,0.417,0.3507,0.3557,100468797.4,2024-11-11 22:59:59.999000+03:00
2024-11-11 23:00:00+03:00,0.3557,0.3966,0.328,0.3908,109671906.2,2024-11-12 02:59:59.999000+03:00
2024-11-12 03:00:00+03:00,0.3909,0.4775,0.38,0.4539,135074934.3,2024-11-12 06:59:59.999000+03:00
2024-11-12 07:00:00+03:00,0.454,0.55,0.4467,0.4806,173503378.4,2024-11-12 10:59:59.999000+03:00
2024-11-12 11:00:00+03:00,0.481,0.4899,0.3854,0.4367,142336499.2,2024-11-12 14:59:59.999000+03:00
2024-11-12 15:00:00+03:00,0.4367,0.4836,0.4029,0.4813,122003482.6,2024-11-12 18:59:59.999000+03:00
2024-11-12 19:00:00+03:00,0.4813,0.495,0.4271,0.4812,80708152.8,2024-11-12 22:59:59.999000+03:00
2024-11-12 23:00:00+03:00,0.4809,0.4976,0.4314,0.4419,57587708.7,2024-11-13 02:59:59.999000+03:00
2024-11-13 03:00:00+03:00,0.4422,0.92,0.4144,0.825,461138679.8,2024-11-13 06:59:59.999000+03:00
2024-11-13 07:00:00+03:00,0.8253,0.989,0.7503,0.9377,372261257.3,2024-11-13 10:59:59.999000+03:00
2024-11-13 11:00:00+03:00,0.938,1.48,0.8856,1.3412,506510185.7,2024-11-13 14:59:59.999000+03:00
2024-11-13 15:00:00+03:00,1.3412,1.7923,1.32,1.6613,528118696.1,2024-11-13 18:59:59.999000+03:00
2024-11-13 19:00:00+03:00,1.6611,1.8598,1.4298,1.4807,243960067.4,2024-11-13 22:59:59.999000+03:00
2024-11-13 23:00:00+03:00,1.4805,1.75,1.4582,1.6921,117541049.6,2024-11-14 02:59:59.999000+03:00
2024-11-14 03:00:00+03:00,1.692,2.5,1.65,2.1573,344494733.3,2024-11-14 06:59:59.999000+03:00
2024-11-14 07:00:00+03:00,2.1557,2.3074,1.9573,2.1131,137852898.0,2024-11-14 10:59:59.999000+03:00
2024-11-14 11:00:00+03:00,2.1125,2.2263,1.734,1.8764,196666052.6,2024-11-14 14:59:59.999000+03:00
2024-11-14 15:00:00+03:00,1.876,2.1599,1.7659,1.9304,228641191.1,2024-11-14 18:59:59.999000+03:00
2024-11-14 19:00:00+03:00,1.9303,2.0987,1.6202,1.7304,143716557.4,2024-11-14 22:59:59.999000+03:00
2024-11-14 23:00:00+03:00,1.7302,1.88,1.6907,1.7646,93281718.9,2024-11-15 02:59:59.999000+03:00
2024-11-15 03:00:00+03:00,1.7641,1.859,1.5777,1.6901,132725535.9,2024-11-15 06:59:59.999000+03:00
2024-11-15 07:00:00+03:00,1.6901,1.9,1.53,1.8124,129233525.5,2024-11-15 10:59:59.999000+03:00
2024-11-15 11:00:00+03:00,1.8124,2.022,1.7442,1.9271,137304450.4,2024-11-15 14:59:59.999000+03:00
