open_time,open,high,low,close,volume,close_time
2024-10-25 23:00:00+03:00,0.1648,0.1652,0.1622,0.1626,118217287.8,2024-10-26 02:59:59.999000+03:00
2024-10-26 03:00:00+03:00,0.1625,0.1639,0.1624,0.1638,58316419.1,2024-10-26 06:59:59.999000+03:00
2024-10-26 07:00:00+03:00,0.1638,0.1646,0.1638,0.1646,30656586.0,2024-10-26 10:59:59.999000+03:00
2024-10-26 11:00:00+03:00,0.1646,0.1654,0.1645,0.1649,24939120.1,2024-10-26 14:59:59.999000+03:00
2024-10-26 15:00:00+03:00,0.165,0.1653,0.1639,0.1641,45835112.6,2024-10-26 18:59:59.999000+03:00
2024-10-26 19:00:00+03:00,0.164,0.1648,0.164,0.1646,20994431.3,2024-10-26 22:59:59.999000+03:00
2024-10-26 23:00:00+03:00,0.1645,0.1654,0.1644,0.1652,22253867.8,2024-10-27 02:59:59.999000+03:00
2024-10-27 03:00:00+03:00,0.1651,0.1663,0.1651,0.1662,41755386.5,2024-10-27 06:59:59.999000+03:00
2024-10-27 07:00:00+03:00,0.1662,0.1662,0.1657,0.166,19561693.2,2024-10-27 10:59:59.999000+03:00
2024-10-27 11:00:00+03:00,0.166,0.1661,0.1654,0.1657,26101811.9,2024-10-27 14:59:59.999000+03:00
2024-10-27 15:00:00+03:00,0.1657,0.1662,0.1654,0.1659,22735502.3,2024-10-27 18:59:59.999000+03:00
2024-10-27 19:00:00+03:00,0.1659,0.1659,0.1646,0.165,38724651.6,2024-10-27 22:59:59.999000+03:00
2024-10-27 23:00:00+03:00,0.1649,0.1649,0.164,0.164,30222558.4,2024-10-28 02:59:59.999000+03:00
2024-10-28 03:00:00+03:00,0.1641,0.1642,0.1634,0.1635,28434834.0,2024-10-28 06:59:59.999000+03:00
2024-10-28 07:00:00+03:00,0.1634,0.164,0.1631,0.164,33315026.7,2024-10-28 10:59:59.999000+03:00
2024-10-28 11:00:00+03:00,0.1639,0.1642,0.1636,0.1637,25016378.2,2024-10-28 14:59:59.999000+03:00
2024-10-28 15:00:00+03:00,0.1637,0.1641,0.1634,0.1635,41086857.1,2024-10-28 18:59:59.999000+03:00
2024-10-28 19:00:00+03:00,0.1635,0.1642,0.1633,0.164,29120838.5,2024-10-28 22:59:59.999000+03:00
2024-10-28 23:00:00+03:00,0.1641,0.1645,0.1638,0.1642,23392231.0,2024-10-29 02:59:59.999000+03:00
2024-10-29 03:00:00+03:00,0.1642,0.1646,0.164,0.1644,32912265.6,2024-10-29 06:59:59.999000+03:00
2024-10-29 07:00:00+03:00,0.1644,0.1645,0.164,0.1642,21572124.0,2024-10-29 10:59:59.999000+03:00
2024-10-29 11:00:00+03:00,0.1643,0.1646,0.164,0.1642,22576366.2,2024-10-29 14:59:59.999000+03:00
2024-10-29 15:00:00+03:00,0.1643,0.1671,0.164,0.1654,115619471.7,2024-10-29 18:59:59.999000+03:00
2024-10-29 19:00:00+03:00,0.1655,0.166,0.1652,0.1655,42822026.8,2024-10-29 22:59:59.999000+03:00
2024-10-29 23:00:00+03:00,0.1655,0.1663,0.1652,0.1663,32230321.8,2024-10-30 02:59:59.999000+03:00
2024-10-30 03:00:00+03:00,0.1662,0.1668,0.1659,0.1668,28831433.0,2024-10-30 06:59:59.999000+03:00
2024-10-30 07:00:00+03:00,0.1668,0.1679,0.1666,0.1677,47583944.1,2024-10-30 10:59:59.999000+03:00
2024-10-30 11:00:00+03:00,0.1677,0.1681,0.1676,0.1679,34406042.8,2024-10-30 14:59:59.999000+03:00
2024-10-30 15:00:00+03:00,0.1678,0.169,0.1676,0.1687,64328050.1,2024-10-30 18:59:59.999000+03:00
