open_time,open,high,low,close,volume,close_time
2024-10-24 15:00:00+03:00,8.085,8.21,7.998,8.006,685295.54,2024-10-24 18:59:59.999000+03:00
2024-10-24 19:00:00+03:00,8.007,8.087,7.922,8.041,307502.72,2024-10-24 22:59:59.999000+03:00
2024-10-24 23:00:00+03:00,8.043,8.075,7.977,8.042,201334.86,2024-10-25 02:59:59.999000+03:00
2024-10-25 03:00:00+03:00,8.045,8.197,8.03,8.075,618083.7,2024-10-25 06:59:59.999000+03:00
2024-10-25 07:00:00+03:00,8.075,8.081,7.857,7.877,600167.82,2024-10-25 10:59:59.999000+03:00
2024-10-25 11:00:00+03:00,7.877,8.05,7.757,8.045,648361.38,2024-10-25 14:59:59.999000+03:00
2024-10-25 15:00:00+03:00,8.047,8.119,7.935,8.026,586266.39,2024-10-25 18:59:59.999000+03:00
2024-10-25 19:00:00+03:00,8.027,8.154,7.71,7.89,903857.37,2024-10-25 22:59:59.999000+03:00
2024-10-25 23:00:00+03:00,7.886,7.945,7.164,7.432,1393296.55,2024-10-26 02:59:59.999000+03:00
2024-10-26 03:00:00+03:00,7.432,7.782,7.316,7.72,913841.06,2024-10-26 06:59:59.999000+03:00
2024-10-26 07:00:00+03:00,7.719,7.734,7.511,7.547,1375202.04,2024-10-26 10:59:59.999000+03:00
2024-10-26 11:00:00+03:00,7.545,7.653,7.521,7.548,360618.77,2024-10-26 14:59:59.999000+03:00
2024-10-26 15:00:00+03:00,7.547,7.57,7.285,7.308,583252.18,2024-10-26 18:59:59.999000+03:00
2024-10-26 19:00:00+03:00,7.309,7.449,7.286,7.413,345747.81,2024-10-26 22:59:59.999000+03:00
2024-10-26 23:00:00+03:00,7.414,7.485,7.382,7.443,247184.01,2024-10-27 02:59:59.999000+03:00
2024-10-27 03:00:00+03:00,7.444,7.664,7.371,7.661,380567.28,2024-10-27 06:59:59.999000+03:00
2024-10-27 07:00:00+03:00,7.66,7.807,7.551,7.605,672547.37,2024-10-27 10:59:59.999000+03:00
2024-10-27 11:00:00+03:00,7.605,7.63,7.419,7.447,264394.98,2024-10-27 14:59:59.999000+03:00
2024-10-27 15:00:00+03:00,7.447,7.502,7.374,7.491,380706.79,2024-10-27 18:59:59.999000+03:00
2024-10-27 19:00:00+03:00,7.493,7.588,7.491,7.561,222544.64,2024-10-27 22:59:59.999000+03:00
2024-10-27 23:00:00+03:00,7.562,7.612,7.457,7.534,235214.71,2024-10-28 02:59:59.999000+03:00
2024-10-28 03:00:00+03:00,7.536,7.643,7.364,7.386,365831.33,2024-10-28 06:59:59.999000+03:00
2024-10-28 07:00:00+03:00,7.38,7.546,7.304,7.516,447409.96,2024-10-28 10:59:59.999000+03:00
2024-10-28 11:00:00+03:00,7.516,7.566,7.417,7.519,309884.05,2024-10-28 14:59:59.999000+03:00
2024-10-28 15:00:00+03:00,7.515,7.59,7.461,7.496,513922.62,2024-10-28 18:59:59.999000+03:00
2024-10-28 19:00:00+03:00,7.495,7.647,7.396,7.625,481834.42,2024-10-28 22:59:59.999000+03:00
2024-10-28 23:00:00+03:00,7.625,7.792,7.622,7.783,424845.46,2024-10-29 02:59:59.999000+03:00
2024-10-29 03:00:00+03:00,7.784,8.003,7.758,7.93,752327.43,2024-10-29 06:59:59.999000+03:00
2024-10-29 07:00:00+03:00,7.931,7.965,7.829,7.902,427666.93,2024-10-29 10:59:59.999000+03:00
