open,high,low,close,volume,open_time,close_time,MACD,MACD_signal,MACD_hist,CCI,CCI_scaled,CCI_wma,INV1,RSI,RSI_scaled,RSI_wma,INV2,lowest_low,highest_high,stoch,stoch_scaled,stoch_wma,INVLine,AVINV,Fibonacci_236,Fibonacci_382,Fibonacci_50,Fibonacci_618,Fibonacci_786
0.5368,0.5409,0.483,0.5069,34897686.4,2024-10-25 23:00:00+03:00,2024-10-26 02:59:59.999000+03:00,,,,,,,,,,,,,,,,,,,,,,,
0.5069,0.5139,0.497,0.5133,20901393.4,2024-10-26 03:00:00+03:00,2024-10-26 06:59:59.999000+03:00,,,,,,,,,,,,,,,,,,,,,,,
0.5132,0.5212,0.512,0.5128,8608014.1,2024-10-26 07:00:00+03:00,2024-10-26 10:59:59.999000+03:00,,,,,,,,,,,,,,,,,,,,,,,
0.5127,0.5173,0.5117,0.5155,5788195.8,2024-10-26 11:00:00+03:00,2024-10-26 14:59:59.999000+03:00,,,,,,,,,,,,,,,,,,,,,,,
0.5154,0.5171,0.4982,0.5042,11910439.1,2024-10-26 15:00:00+03:00,2024-10-26 18:59:59.999000+03:00,,,,-88.72623278501324,-2.218155819625331,,,43.54066985645918,-0.6459330143540818,,,0.483,0.5409,36.61485319516403,-1.338514680483597,,,,,,,,
0.5042,0.5155,0.5033,0.5147,5441046.3,2024-10-26 19:00:00+03:00,2024-10-26 22:59:59.999000+03:00,,,,38.12978742798007,0.9532446856995018,,,62.4203821656052,1.2420382165605197,,,0.497,0.5212,73.1404958677688,2.3140495867768807,,,,,,,,
0.5148,0.5197,0.5132,0.5144,3910150.0,2024-10-26 23:00:00+03:00,2024-10-27 02:59:59.999000+03:00,,,,29.859133927654764,0.7464783481913692,,,52.17391304347824,0.2173913043478237,,,0.4982,0.5212,70.43478260869556,2.0434782608695556,,,,,,,,
0.5144,0.5168,0.5113,0.5167,3203615.5,2024-10-27 03:00:00+03:00,2024-10-27 06:59:59.999000+03:00,,,,47.48520182382106,1.1871300455955265,,,57.19557195571955,0.7195571955719551,,,0.4982,0.5197,86.04651162790701,3.604651162790701,,,,,,,,
0.5167,0.5172,0.5131,0.5139,4468636.8,2024-10-27 07:00:00+03:00,2024-10-27 10:59:59.999000+03:00,,,,15.197953744913473,0.3799488436228369,,,47.05882352941191,-0.294117647058809,,,0.4982,0.5197,73.02325581395345,2.3023255813953454,,,,,,,,
0.5139,0.5157,0.5066,0.5079,5366238.0,2024-10-27 11:00:00+03:00,2024-10-27 14:59:59.999000+03:00,,,,-112.95598217620169,-2.8238995544050423,,,58.44748858447487,0.8447488584474869,,,0.5033,0.5197,28.048780487805036,-2.1951219512194964,,,,,,,,
0.5079,0.5177,0.5076,0.5166,4928548.8,2024-10-27 15:00:00+03:00,2024-10-27 18:59:59.999000+03:00,,,,50.22332376399189,1.2555830940997974,,,54.72636815920371,0.4726368159203709,,,0.5066,0.5197,76.33587786259464,2.6335877862594645,,,,,,,,
0.5166,0.519,0.5119,0.5142,3866826.6,2024-10-27 19:00:00+03:00,2024-10-27 22:59:59.999000+03:00,,,,6.334783622286206,0.15836959055715516,,,49.549549549549596,-0.045045045045040415,,,0.5066,0.519,61.29032258064484,1.129032258064484,,,,,,,,
0.5143,0.5248,0.5129,0.5195,6202891.0,2024-10-27 23:00:00+03:00,2024-10-28 02:59:59.999000+03:00,,,,79.06602815187493,1.9766507037968735,0.1794833263925208,0.17758053368325963,55.555555555555415,0.5555555555555415,0.3407591377717518,0.32815495297810643,0.5066,0.5248,70.87912087912042,2.0879120879120423,1.3979333435961534,0.8849041171202341,0.4635465345938667,,,,,
0.5195,0.5215,0.5069,0.5082,4046404.0,2024-10-28 03:00:00+03:00,2024-10-28 06:59:59.999000+03:00,,,,-66.00422962488317,-1.6501057406220792,0.24260000183732655,0.23795005155556792,41.54302670623136,-0.8456973293768641,0.3185631027692205,0.30820709370564403,0.5066,0.5248,8.791208791208437,-4.120879120879157,1.0887817391077579,0.7964330651159192,0.4475300701257104,,,,,
