open,high,low,close,volume,open_time,close_time,MACD,MACD_signal,MACD_hist,CCI,CCI_scaled,CCI_wma,INV1,RSI,RSI_scaled,RSI_wma,INV2,lowest_low,highest_high,stoch,stoch_scaled,stoch_wma,INVLine,AVINV,Fibonacci_236,Fibonacci_382,Fibonacci_50,Fibonacci_618,Fibonacci_786
0.063,0.0634,0.0623,0.0629,13760026.0,2024-10-26 07:00:00+03:00,2024-10-26 10:59:59.999000+03:00,,,,,,,,,,,,,,,,,,,,,,,
0.0628,0.063,0.0619,0.062,16750009.0,2024-10-26 11:00:00+03:00,2024-10-26 14:59:59.999000+03:00,,,,,,,,,,,,,,,,,,,,,,,
0.062,0.0622,0.0604,0.0608,15197631.0,2024-10-26 15:00:00+03:00,2024-10-26 18:59:59.999000+03:00,,,,,,,,,,,,,,,,,,,,,,,
0.0609,0.0615,0.0604,0.0614,10971413.0,2024-10-26 19:00:00+03:00,2024-10-26 22:59:59.999000+03:00,,,,,,,,,,,,,,,,,,,,,,,
0.0615,0.0624,0.0613,0.0618,10256309.0,2024-10-26 23:00:00+03:00,2024-10-27 02:59:59.999000+03:00,,,,1.718464207421492,0.0429616051855373,,,32.25806451612908,-1.7741935483870919,,,0.0604,0.0634,46.666666666666686,-0.3333333333333315,,,,,,,,
0.0618,0.0622,0.0612,0.0622,6966882.0,2024-10-27 03:00:00+03:00,2024-10-27 06:59:59.999000+03:00,,,,67.2699972146028,1.68174993036507,,,40.0,-1.0,,,0.0604,0.063,69.23076923076913,1.9230769230769127,,,,,,,,
0.0621,0.0627,0.062,0.0623,6885417.0,2024-10-27 07:00:00+03:00,2024-10-27 10:59:59.999000+03:00,,,,64.88856845230569,1.6222142113076423,,,55.55555555555558,0.5555555555555579,,,0.0604,0.0627,82.60869565217374,3.260869565217374,,,,,,,,
0.0624,0.0624,0.0611,0.0612,21297419.0,2024-10-27 11:00:00+03:00,2024-10-27 14:59:59.999000+03:00,,,,-80.2772971919497,-2.0069324297987428,,,57.69230769230763,0.769230769230763,,,0.0604,0.0627,34.78260869565191,-1.5217391304348091,,,,,,,,
0.0612,0.0619,0.0608,0.0614,24583625.0,2024-10-27 15:00:00+03:00,2024-10-27 18:59:59.999000+03:00,,,,-52.59547057403542,-1.3148867643508855,,,50.0,0.0,,,0.0608,0.0627,31.57894736842113,-1.8421052631578871,,,,,,,,
0.0614,0.0619,0.0609,0.0612,13206348.0,2024-10-27 19:00:00+03:00,2024-10-27 22:59:59.999000+03:00,,,,-56.17698675096192,-1.4044246687740483,,,35.00000000000003,-1.4999999999999973,,,0.0608,0.0627,21.052631578947175,-2.894736842105283,,,,,,,,
