open,high,low,close,volume,open_time,close_time,MACD,MACD_signal,MACD_hist,CCI,CCI_scaled,CCI_wma,INV1,RSI,RSI_scaled,RSI_wma,INV2,lowest_low,highest_high,stoch,stoch_scaled,stoch_wma,INVLine,AVINV,Fibonacci_236,Fibonacci_382,Fibonacci_50,Fibonacci_618,Fibonacci_786
4.096,4.124,3.848,3.996,2328281.98,2024-10-25 23:00:00+03:00,2024-10-26 02:59:59.999000+03:00,,,,,,,,,,,,,,,,,,,,,,,
3.996,4.055,3.943,4.029,861080.69,2024-10-26 03:00:00+03:00,2024-10-26 06:59:59.999000+03:00,,,,,,,,,,,,,,,,,,,,,,,
4.03,4.061,4.018,4.034,450888.41,2024-10-26 07:00:00+03:00,2024-10-26 10:59:59.999000+03:00,,,,,,,,,,,,,,,,,,,,,,,
4.034,4.053,4.02,4.043,358679.35,2024-10-26 11:00:00+03:00,2024-10-26 14:59:59.999000+03:00,,,,,,,,,,,,,,,,,,,,,,,
4.042,4.053,3.979,4.003,464330.06,2024-10-26 15:00:00+03:00,2024-10-26 18:59:59.999000+03:00,,,,-58.79951490600275,-1.4699878726500688,,,54.02298850574718,0.4022988505747179,,,3.848,4.124,56.159420289855206,0.6159420289855206,,,,,,,,
4.003,4.023,3.98,4.011,953354.64,2024-10-26 19:00:00+03:00,2024-10-26 22:59:59.999000+03:00,,,,-52.35724808861536,-1.308931202215384,,,57.89473684210531,0.789473684210531,,,3.943,4.061,57.627118644067906,0.7627118644067906,,,,,,,,
4.01,4.055,4.007,4.035,393668.32,2024-10-26 23:00:00+03:00,2024-10-27 02:59:59.999000+03:00,,,,37.96140602260321,0.9490351505650803,,,53.48837209302338,0.34883720930233797,,,3.979,4.061,68.29268292682946,1.8292682926829458,,,,,,,,
4.036,4.04,4.007,4.037,248652.73,2024-10-27 03:00:00+03:00,2024-10-27 06:59:59.999000+03:00,,,,42.325974841037144,1.0581493710259287,,,51.80722891566272,0.18072289156627194,,,3.979,4.055,76.31578947368436,2.6315789473684363,,,,,,,,
4.037,4.043,4.007,4.025,572058.45,2024-10-27 07:00:00+03:00,2024-10-27 10:59:59.999000+03:00,,,,12.550880973895236,0.31377202434738094,,,39.534883720930274,-1.0465116279069726,,,3.979,4.055,60.52631578947433,1.0526315789474332,,,,,,,,
4.025,4.038,4.01,4.013,222655.82,2024-10-27 11:00:00+03:00,2024-10-27 14:59:59.999000+03:00,,,,-61.96457216220428,-1.549114304055107,,,58.62068965517225,0.862068965517225,,,3.98,4.055,44.00000000000005,-0.5999999999999951,,,,,,,,
4.013,4.092,4.011,4.09,897888.65,2024-10-27 15:00:00+03:00,2024-10-27 18:59:59.999000+03:00,,,,112.88091024643049,2.8220227561607625,,,81.10236220472436,3.110236220472436,,,4.007,4.092,97.64705882352968,4.764705882352968,,,,,,,,
4.089,4.109,4.081,4.106,336309.58,2024-10-27 19:00:00+03:00,2024-10-27 22:59:59.999000+03:00,,,,83.68920314002548,2.0922300785006374,,,79.83193277310919,2.983193277310919,,,4.007,4.109,97.05882352941167,4.705882352941167,,,,,,,,
4.107,4.136,4.103,4.128,509669.97,2024-10-27 23:00:00+03:00,2024-10-28 02:59:59.999000+03:00,,,,73.02731206851583,1.8256828017128957,0.5258732003769029,0.48222023004406384,82.73381294964031,3.273381294964031,1.2115223073346106,0.8371355504694531,4.007,4.136,93.79844961240312,4.379844961240312,2.2380628787695085,0.9775011649746794,0.7656189818293987,,,,,
