open,high,low,close,volume,open_time,close_time,MACD,MACD_signal,MACD_hist,CCI,CCI_scaled,CCI_wma,INV1,RSI,RSI_scaled,RSI_wma,INV2,lowest_low,highest_high,stoch,stoch_scaled,stoch_wma,INVLine,AVINV,Fibonacci_236,Fibonacci_382,Fibonacci_50,Fibonacci_618,Fibonacci_786
0.2587,0.26,0.2345,0.2434,8943919.0,2024-10-25 23:00:00+03:00,2024-10-26 02:59:59.999000+03:00,,,,,,,,,,,,,,,,,,,,,,,
0.2433,0.2485,0.2385,0.2471,7919616.0,2024-10-26 03:00:00+03:00,2024-10-26 06:59:59.999000+03:00,,,,,,,,,,,,,,,,,,,,,,,
0.2471,0.2478,0.2458,0.2467,1927251.0,2024-10-26 07:00:00+03:00,2024-10-26 10:59:59.999000+03:00,,,,,,,,,,,,,,,,,,,,,,,
0.2466,0.2484,0.2462,0.2476,1835511.0,2024-10-26 11:00:00+03:00,2024-10-26 14:59:59.999000+03:00,,,,,,,,,,,,,,,,,,,,,,,
0.2475,0.2478,0.24,0.2419,3306696.0,2024-10-26 15:00:00+03:00,2024-10-26 18:59:59.999000+03:00,,,,-90.56003121848177,-2.264000780462044,,,42.990654205607434,-0.7009345794392566,,,0.2345,0.26,29.019607843137297,-2.09803921568627,,,,,,,,
0.2419,0.2466,0.2407,0.2462,1782322.0,2024-10-26 19:00:00+03:00,2024-10-26 22:59:59.999000+03:00,,,,8.716272672809668,0.2179068168202417,,,59.33333333333337,0.9333333333333371,,,0.2385,0.2485,77.00000000000006,2.700000000000006,,,,,,,,
0.2462,0.2485,0.246,0.2479,1123115.0,2024-10-26 23:00:00+03:00,2024-10-27 02:59:59.999000+03:00,,,,50.61701887925834,1.2654254719814586,,,53.07692307692318,0.307692307692318,,,0.24,0.2485,92.94117647058836,4.294117647058836,,,,,,,,
0.2478,0.2505,0.2465,0.2502,1559894.0,2024-10-27 03:00:00+03:00,2024-10-27 06:59:59.999000+03:00,,,,74.62978469137748,1.8657446172844372,,,61.744966442952986,1.1744966442952987,,,0.24,0.2505,97.14285714285693,4.714285714285693,,,,,,,,
0.2502,0.2508,0.2483,0.2493,1490013.0,2024-10-27 07:00:00+03:00,2024-10-27 10:59:59.999000+03:00,,,,44.7641556725884,1.11910389181471,,,55.70469798657722,0.5704697986577223,,,0.24,0.2508,86.11111111111089,3.611111111111089,,,,,,,,
0.2496,0.2508,0.248,0.2502,1087480.0,2024-10-27 11:00:00+03:00,2024-10-27 14:59:59.999000+03:00,,,,56.05510901949467,1.401377725487367,,,91.0891089108912,4.10891089108912,,,0.2407,0.2508,94.05940594059363,4.405940594059364,,,,,,,,
0.2502,0.2524,0.2498,0.2521,1315088.0,2024-10-27 15:00:00+03:00,2024-10-27 18:59:59.999000+03:00,,,,94.07545940074094,2.3518864850185235,,,88.31168831168844,3.8311688311688443,,,0.246,0.2524,95.31249999999966,4.531249999999966,,,,,,,,
0.2521,0.2533,0.2495,0.2507,1554982.0,2024-10-27 19:00:00+03:00,2024-10-27 22:59:59.999000+03:00,,,,12.981130226965778,0.32452825567414445,,,68.9189189189188,1.8918918918918806,,,0.2465,0.2533,61.764705882352416,1.1764705882352418,,,,,,,,
0.2508,0.2541,0.2504,0.2515,1225916.0,2024-10-27 23:00:00+03:00,2024-10-28 02:59:59.999000+03:00,,,,45.07254195418967,1.1268135488547417,0.82319844805262,0.6768069716475819,61.01694915254254,1.1016949152542537,1.4687471148826132,0.8993381831984832,0.248,0.2541,57.37704918032797,0.7377049180327973,2.6747601507885244,0.9905440613148025,0.8555630720536226,,,,,
0.2516,0.2525,0.2459,0.2463,1430973.0,2024-10-28 03:00:00+03:00,2024-10-28 06:59:59.999000+03:00,,,,-112.97856699703196,-2.824464174925799,0.7609247375566474,0.6416213275352228,35.29411764705887,-1.4705882352941133,1.3832300420098511,0.8816724999819497,0.2459,0.2541,4.878048780487615,-4.512195121951239,2.4065206056479727,0.9838846707681741,0.8357261660951156,,,,,
0.2462,0.2502,0.2436,0.2486,1946567.0,2024-10-28 07:00:00+03:00,2024-10-28 10:59:59.999000+03:00,,,,-34.72286128165947,-0.8680715320414868,0.6402604765720108,0.5650768822505662,43.10344827586215,-0.6896551724137852,1.2028979858157265,0.8345364177825078,0.2436,0.2541,47.61904761904748,-0.23809523809525218,2.080065579192944,0.9692685578736716,0.7896272859689152,,,,,
0.2487,0.2498,0.2466,0.248,1483605.0,2024-10-28 11:00:00+03:00,2024-10-28 14:59:59.999000+03:00,,,,-32.42878518709046,-0.8107196296772616,0.4095776874988196,0.3881140405105889,30.09708737864088,-1.9902912621359121,0.9475664780570343,0.7386793599234276,0.2436,0.2541,41.904761904761855,-0.8095238095238145,1.512994306239316,0.9074689845208265,0.6780874616516144,,,,,
0.2481,0.2516,0.2453,0.2453,7822993.0,2024-10-28 15:00:00+03:00,2024-10-28 18:59:59.999000+03:00,,,,-73.7635952094196,-1.8440898802354901,-0.002626145558950071,-0.0026261395217728137,26.72413793103459,-2.327586206896541,0.558446161257941,0.5068236385924808,0.2436,0.2541,16.190476190476023,-3.3809523809523983,0.6135234067684171,0.5466025592807183,0.3502666861171421,,,,,
0.2452,0.2509,0.2424,0.2493,2602869.0,2024-10-28 19:00:00+03:00,2024-10-28 22:59:59.999000+03:00,,,,72.42859683401846,1.8107149208504616,0.07421952433391121,0.07408354359649161,42.567567567567544,-0.7432432432432456,0.4124780454911668,0.3905747334759166,0.2424,0.2525,68.31683168316823,1.8316831683168233,0.41580919090238755,0.3933940387266214,0.28601743859967654,,,,,
0.2493,0.2564,0.2492,0.253,2747780.0,2024-10-28 23:00:00+03:00,2024-10-29 02:59:59.999000+03:00,,,,99.92453193943692,2.498113298485923,0.1960790324448619,0.193604202719049,75.18796992481207,2.5187969924812066,0.2357987234236209,0.2315235617570829,0.2424,0.2564,75.71428571428564,2.571428571428564,0.21197452172118758,0.20885566806968453,0.2113278108486055,,,,,
0.2531,0.2588,0.2525,0.2566,9092192.0,2024-10-29 03:00:00+03:00,2024-10-29 06:59:59.999000+03:00,,,,92.89532042729441,2.32238301068236,0.19280086862973264,0.19044692045446499,77.39726027397262,2.7397260273972623,0.11452730078233403,0.11402918150522187,0.2424,0.2588,86.58536585365863,3.658536585365863,0.11500636453962058,0.11450199029770265,0.13965936408579652,,,,,
0.2566,0.257,0.2537,0.2542,1888887.0,2024-10-29 07:00:00+03:00,2024-10-29 10:59:59.999000+03:00,,,,37.88263877339097,0.9470659693347744,0.261971725703136,0.2561388276667689,68.90243902439016,1.8902439024390163,0.11434419084312689,0.11384844870958272,0.2424,0.2588,71.95121951219511,2.195121951219511,0.22818984931565053,0.2243099788619221,0.19809908507942456,,,,,
0.2542,0.256,0.254,0.2547,2036216.0,2024-10-29 11:00:00+03:00,2024-10-29 14:59:59.999000+03:00,,,,28.027303041182467,0.7006825760295617,0.21462383983367153,0.2113880139625457,83.0985915492957,3.309859154929571,0.3596957730292732,0.3449460345852806,0.2424,0.2588,75.0,2.5,0.424000413978673,0.400295204863414,0.3188764178037468,,,,,
0.2546,0.2565,0.2537,0.2564,3135061.0,2024-10-29 15:00:00+03:00,2024-10-29 18:59:59.999000+03:00,,,,62.25914760882366,1.5564786902205916,0.7013952692943816,0.6052526630175998,79.83193277310922,2.9831932773109218,0.8545603855409438,0.6934444188545563,0.2492,0.2588,75.00000000000036,2.5000000000000355,1.2031332053065924,0.8346078044016162,0.7111016287579242,,,,,
0.2564,0.2626,0.2564,0.2571,5444439.0,2024-10-29 19:00:00+03:00,2024-10-29 22:59:59.999000+03:00,,,,68.19708786494057,1.7049271966235144,0.9872840169238262,0.7562018385131168,73.03370786516845,2.303370786516845,1.187118825422125,0.8296831636946944,0.2525,0.2626,45.544554455445486,-0.4455445544554515,1.18008328126657,0.827477869766645,0.8044542906581521,,,,,
0.2572,0.2602,0.2549,0.26,2489884.0,2024-10-29 23:00:00+03:00,2024-10-30 02:59:59.999000+03:00,,,,102.05792853242029,2.5514482133105076,1.3608582217002452,0.8765919696360179,70.73170731707316,2.073170731707316,1.638614602515817,0.9272786470648015,0.2537,0.2626,70.78651685393274,2.078651685393274,1.500991669590691,0.9053272941566377,0.903065970285819,,,,,
0.26,0.2606,0.256,0.2589,2608922.0,2024-10-30 03:00:00+03:00,2024-10-30 06:59:59.999000+03:00,0.003250136941043702,,,47.32336696345128,1.183084174086282,1.6972108944026643,0.9350594937494918,84.05797101449294,3.4057971014492936,2.275657192332021,0.9791137708730467,0.2537,0.2626,58.426966292135134,0.8426966292135134,1.9702860040535701,0.9618670077516929,0.9586800907914105,,,,,
0.2589,0.2591,0.2563,0.2565,1307158.0,2024-10-30 07:00:00+03:00,2024-10-30 10:59:59.999000+03:00,0.003151557488999812,,,-53.469267939342046,-1.3367316984835513,1.3474946033655515,0.8734606404198181,60.227272727272826,1.0227272727272827,2.4718761385509684,0.9858452867214574,0.2537,0.2626,31.460674157303583,-1.853932584269642,1.5607731426550742,0.915545620981563,0.9249505160409462,,,,,
0.2565,0.2579,0.2518,0.2521,2767390.0,2024-10-30 11:00:00+03:00,2024-10-30 14:59:59.999000+03:00,0.002687410539518098,,,-105.8714386356995,-2.6467859658924877,0.7758391295457281,0.6503119848560274,31.304347826086868,-1.8695652173913133,1.9842803374540219,0.9628999779336312,0.2518,0.2626,2.777777777777478,-4.7222222222222525,0.7503674989160946,0.6353681458519377,0.749526702880532,,,,,
0.2521,0.2585,0.251,0.2555,7916573.0,2024-10-30 15:00:00+03:00,2024-10-30 18:59:59.999000+03:00,0.002564361954715988,,,-23.6929245575457,-0.5923231139386426,0.45198289347672777,0.42352758155549375,44.36619718309864,-0.5633802816901359,1.6172685253331995,0.9242269614856278,0.251,0.2606,46.87500000000006,-0.31249999999999434,0.30914121165322145,0.2996556237032083,0.5491367222481099,,,,,
0.2555,0.2573,0.2549,0.2558,1941077.0,2024-10-30 19:00:00+03:00,2024-10-30 22:59:59.999000+03:00,0.002462664494204736,,,1.0915768711076452,0.02728942177769113,0.3497854993037186,0.3361853003498322,31.896551724138092,-1.8103448275861909,1.2060919997748432,0.8355033766842004,0.251,0.2606,50.00000000000029,2.913225216616411e-14,0.06523877262883455,0.06514637573435696,0.41227835092279647,,,,,
0.2558,0.2587,0.2547,0.2565,2380156.0,2024-10-30 23:00:00+03:00,2024-10-31 02:59:59.999000+03:00,0.002410762899853147,,,44.423888112782585,1.1105972028195648,0.3953315689470523,0.3759474028182504,39.28571428571426,-1.0714285714285736,0.7192822524017162,0.6164645167012943,0.251,0.2591,67.90123456790133,1.7901234567901327,-0.013636398838928483,-0.013635553666095859,0.32625878861781626,,,,,
0.2564,0.2574,0.2532,0.2535,2176321.0,2024-10-31 03:00:00+03:00,2024-10-31 06:59:59.999000+03:00,0.0021033099367587793,,,-43.16094393558038,-1.0790235983895096,0.10249798132370774,0.10214054099902772,37.28813559322036,-1.271186440677964,0.2465733948473955,0.24169490979592737,0.251,0.2587,32.467532467532564,-1.7532467532467437,-0.48621937142190397,-0.4512106480099455,-0.0357917324049968,,,,,
0.2534,0.2538,0.2497,0.2509,2544815.0,2024-10-31 07:00:00+03:00,2024-10-31 10:59:59.999000+03:00,0.0016310512342004868,,,-103.91334714375668,-2.597833678593917,-0.375586560367118,-0.3588685251243523,44.00000000000011,-0.5999999999999893,-0.07602335921003055,-0.07587723671211163,0.2497,0.2587,13.333333333333437,-3.6666666666666567,-0.8441218283342601,-0.687986087950419,-0.374243949928961,,,,,
0.2509,0.2528,0.2487,0.2516,1990095.0,2024-10-31 11:00:00+03:00,2024-10-31 14:59:59.999000+03:00,0.0012983009545984303,0.002224879788083769,-0.0009265788334853389,-55.45484285754474,-1.3863710714386186,-0.8131220364503542,-0.6713089291059747,23.28767123287652,-2.6712328767123483,-0.6031793157011044,-0.5393080335226879,0.2487,0.2587,28.999999999999915,-2.1000000000000085,-1.3084164600446249,-0.8638741840889788,-0.6914970489058804,,,,,
0.2516,0.2521,0.2456,0.2475,4251448.0,2024-10-31 15:00:00+03:00,2024-10-31 18:59:59.999000+03:00,0.0006957381890457803,0.0019190514682761715,-0.0012233132792303912,-90.3303095489518,-2.258257738723795,-1.1954933600959183,-0.8322748172225913,12.612612612612281,-3.738738738738772,-1.397016631277556,-0.8847050798342873,0.2456,0.2587,14.503816793893046,-3.549618320610696,-1.796451454469537,-0.9464372939727274,-0.887805730343202,,,,,
0.2474,0.2475,0.241,0.2416,3064701.0,2024-10-31 19:00:00+03:00,2024-10-31 22:59:59.999000+03:00,-0.0002549390567751497,0.0014842533632659074,-0.0017391924200410571,-105.68690795864352,-2.642172698966088,-1.3405423601495334,-0.8718024537452755,4.2944785276072395,-4.570552147239276,-2.0184921223849512,-0.9653110373966759,0.241,0.2574,3.658536585365953,-4.634146341463405,-2.105364094157733,-0.970762630150508,-0.9359587070974865,,,,,
0.2418,0.2448,0.2409,0.2435,1984115.0,2024-10-31 23:00:00+03:00,2024-11-01 02:59:59.999000+03:00,-0.000845299416814077,0.0010183428072499106,-0.0018636422240639876,-53.13199981208644,-1.328299995302161,-1.1940439189728307,-0.8318288392786329,17.10526315789457,-3.2894736842105434,-2.1762597298093107,-0.9745786128284047,0.2409,0.2538,20.15503875968982,-2.9844961240310184,-1.912283416580929,-0.957276780474469,-0.9212280775271688,,,,,
0.2434,0.244,0.2372,0.2416,9037216.0,2024-11-01 03:00:00+03:00,2024-11-01 06:59:59.999000+03:00,-0.001449766372208533,0.0005247209713582218,-0.001974487343566755,-54.79079470408014,-1.3697698676020036,-1.2804268916020929,-0.8565986121570042,17.93103448275845,-3.206896551724155,-2.4699837598130903,-0.9857919943555882,0.2372,0.2528,28.205128205128247,-2.1794871794871753,-2.1197264365239494,-0.9715787522731962,-0.9379897862619296,,,,,
0.2416,0.2427,0.2368,0.2396,2430550.0,2024-11-01 07:00:00+03:00,2024-11-01 10:59:59.999000+03:00,-0.0020663741991163165,6.5019372633141625e-06,-0.0020728761363796307,-70.52455866521372,-1.763113966630343,-1.4793606014252079,-0.901348123940528,12.025316455696142,-3.7974683544303858,-2.6907752627957784,-0.990840772859452,0.2368,0.2521,18.300653594771244,-3.1699346405228757,-2.4719413965820496,-0.9858471209460574,-0.9593453392486792,,,,,
0.2396,0.2455,0.2394,0.2452,2374023.0,2024-11-01 11:00:00+03:00,2024-11-01 14:59:59.999000+03:00,-0.0020791994287550075,-0.0004106383359403502,-0.0016685610928146573,90.8359239087444,2.2708980977186104,-1.3504382797697583,-0.8741566958124561,43.352601156069355,-0.6647398843930645,-2.645587630902944,-0.9899787884972174,0.2368,0.2475,78.50467289719627,2.8504672897196275,-2.3541254151454387,-0.9821202009821818,-0.9487518950972852,,,,,
0.245,0.2496,0.2393,0.2416,2911502.0,2024-11-01 15:00:00+03:00,2024-11-01 18:59:59.999000+03:00,-0.002352732592389245,-0.0007990571872301292,-0.001553675405159116,-21.925912667628257,-0.5481478166907064,-1.2914520818032245,-0.8595063666380992,50.0,0.0,-2.504344693049837,-0.9867293393617063,0.2368,0.2496,37.50000000000006,-1.2499999999999944,-2.2982091092291337,-0.9800256913443541,-0.9420871324480532,,,,,
0.2413,0.2461,0.2411,0.2431,2484747.0,2024-11-01 19:00:00+03:00,2024-11-01 22:59:59.999000+03:00,-0.002420569314981441,-0.0011233596127803917,-0.0012972097022010494,28.219481628840825,0.7054870407210206,-0.924416446323787,-0.7279800259533603,48.630136986301416,-0.13698630136985843,-2.4528987265353783,-0.9853017455568096,0.2368,0.2496,49.218750000000085,-0.07812499999999148,-1.899482257377282,-0.9561931122703242,-0.8898249612601647,,,,,
