open,high,low,close,volume,open_time,close_time,MACD,MACD_signal,MACD_hist,CCI,CCI_scaled,CCI_wma,INV1,RSI,RSI_scaled,RSI_wma,INV2,lowest_low,highest_high,stoch,stoch_scaled,stoch_wma,INVLine,AVINV,Fibonacci_236,Fibonacci_382,Fibonacci_50,Fibonacci_618,Fibonacci_786
515.6,518.1,459.0,486.1,45776.8452,2024-10-25 23:00:00+03:00,2024-10-26 02:59:59.999000+03:00,,,,,,,,,,,,,,,,,,,,,,,
486.0,512.0,482.5,503.5,21032.9519,2024-10-26 03:00:00+03:00,2024-10-26 06:59:59.999000+03:00,,,,,,,,,,,,,,,,,,,,,,,
503.6,515.3,502.2,510.6,9952.4235,2024-10-26 07:00:00+03:00,2024-10-26 10:59:59.999000+03:00,,,,,,,,,,,,,,,,,,,,,,,
510.5,521.5,509.2,516.3,11361.4214,2024-10-26 11:00:00+03:00,2024-10-26 14:59:59.999000+03:00,,,,,,,,,,,,,,,,,,,,,,,
516.4,516.9,500.6,508.8,10444.1896,2024-10-26 15:00:00+03:00,2024-10-26 18:59:59.999000+03:00,,,,21.601028984387376,0.5400257246096845,,,80.10610079575605,3.010610079575605,,,459.0,521.5,79.68000000000002,2.968000000000002,,,,,,,,
508.9,513.5,503.7,511.8,5639.4361,2024-10-26 19:00:00+03:00,2024-10-26 22:59:59.999000+03:00,,,,22.90070732185694,0.5725176830464236,,,81.57248157248165,3.157248157248165,,,482.5,521.5,75.12820512820515,2.5128205128205154,,,,,,,,
511.8,515.1,508.3,510.7,3735.2686,2024-10-26 23:00:00+03:00,2024-10-27 02:59:59.999000+03:00,,,,-22.235367578133445,-0.5558841894533362,,,64.75409836065576,1.475409836065576,,,500.6,521.5,48.32535885167453,-0.16746411483254706,,,,,,,,
510.8,513.4,505.2,512.2,4318.0236,2024-10-27 03:00:00+03:00,2024-10-27 06:59:59.999000+03:00,,,,5.795047802833645,0.14487619507084112,,,54.255319148936245,0.4255319148936245,,,500.6,521.5,55.50239234449778,0.5502392344497778,,,,,,,,
512.3,512.8,502.9,504.2,4031.7477,2024-10-27 07:00:00+03:00,2024-10-27 10:59:59.999000+03:00,,,,-109.09779592586881,-2.7274448981467203,,,21.327014218009666,-2.8672985781990334,,,500.6,516.9,22.085889570552,-2.7914110429448002,,,,,,,,
504.3,506.8,496.5,497.9,6447.7409,2024-10-27 11:00:00+03:00,2024-10-27 14:59:59.999000+03:00,,,,-101.71646102025382,-2.5429115255063457,,,22.613065326633276,-2.7386934673366725,,,496.5,515.1,7.5268817204299765,-4.247311827957002,,,,,,,,
498.0,516.6,497.5,513.5,10089.9956,2024-10-27 15:00:00+03:00,2024-10-27 18:59:59.999000+03:00,,,,59.10717720606031,1.4776794301515077,,,52.61538461538458,0.2615384615384578,,,496.5,516.6,84.57711442786061,3.457711442786061,,,,,,,,
513.5,514.6,503.8,504.8,7122.3338,2024-10-27 19:00:00+03:00,2024-10-27 22:59:59.999000+03:00,,,,-17.92826952140033,-0.4482067380350083,,,42.64339152119706,-0.7356608478802941,,,496.5,516.6,41.29353233830847,-0.8706467661691534,,,,,,,,
505.1,515.1,502.6,510.9,8646.9999,2024-10-27 23:00:00+03:00,2024-10-28 02:59:59.999000+03:00,,,,50.47826309577059,1.261956577394265,-0.25304352676318764,-0.2477774829147228,48.54586129753908,-0.14541387024609165,0.20480796507325966,0.20199156505575552,496.5,516.6,71.64179104477593,2.164179104477593,0.39734628251449405,0.37767605225942597,0.11063004480015289,,,,,
510.9,521.0,490.4,491.7,13926.6299,2024-10-28 03:00:00+03:00,2024-10-28 06:59:59.999000+03:00,,,,-88.96178765114621,-2.2240446912786553,-0.560162461861892,-0.5080979629786907,38.81932021466905,-1.1180679785330951,-0.25393404138326253,-0.24861314095585021,490.4,521.0,4.248366013071929,-4.5751633986928075,-0.4407829840069292,-0.4142932460149697,-0.39033478331650356,,,,,
491.6,510.6,490.4,509.3,10965.8471,2024-10-28 07:00:00+03:00,2024-10-28 10:59:59.999000+03:00,,,,25.218861505346162,0.630471537633654,-0.5537231446855332,-0.5033054287275252,58.48214285714288,0.8482142857142883,-0.5104933604425822,-0.4703295123316956,490.4,521.0,61.764705882353006,1.1764705882353006,-0.589266308960842,-0.5293677239862729,-0.5010008883484979,,,,,
509.4,524.6,507.3,523.1,19865.4441,2024-10-28 11:00:00+03:00,2024-10-28 14:59:59.999000+03:00,,,,89.03679811849676,2.225919952962419,-0.24463379552822703,-0.23986776068318894,57.339449541284424,0.7339449541284424,-0.592878347324486,-0.5319625872491749,490.4,524.6,95.6140350877193,4.561403508771931,-0.06383657300478893,-0.06375000047477422,-0.27852678280237936,,,,,
523.0,529.9,505.4,506.8,26513.9714,2024-10-28 15:00:00+03:00,2024-10-28 18:59:59.999000+03:00,,,,-9.259619792886665,-0.23149049482216666,-0.2864523166274501,-0.27886626722375535,51.36986301369863,0.13698630136986267,-0.6249389710493484,-0.5545574633050964,490.4,529.9,41.51898734177224,-0.8481012658227762,-0.21920773970173937,-0.21576281301746641,-0.34972884784877273,,,,,
506.8,514.6,500.0,511.0,13994.4892,2024-10-28 19:00:00+03:00,2024-10-28 22:59:59.999000+03:00,,,,15.543467319970784,0.38858668299926963,0.059773414610993246,0.05970232883193263,50.07032348804502,0.007032348804501965,-0.3055688680489556,-0.29640058272225417,490.4,529.9,52.15189873417727,0.2151898734177273,0.11485902878298591,0.11435658376483378,-0.04078055670849592,,,,,
510.7,525.0,506.5,514.2,14376.8359,2024-10-28 23:00:00+03:00,2024-10-29 02:59:59.999000+03:00,,,,13.935463977044451,0.3483865994261113,0.3810287618257107,0.36360055532417807,70.41742286751364,2.0417422867513637,0.22559066018304844,0.22184013342635805,490.4,529.9,60.2531645569622,1.0253164556962198,0.7007066158555662,0.6048161026409441,0.39675226379716005,,,,,
514.3,546.9,511.4,530.2,20851.5603,2024-10-29 03:00:00+03:00,2024-10-29 06:59:59.999000+03:00,,,,92.42686892222744,2.310671723055686,0.4735834610372861,0.4410901328178091,69.53271028037383,1.9532710280373835,0.4135609453495957,0.3914920501120222,500.0,546.9,64.39232409381675,1.4392324093816755,0.4764311676995233,0.4433809046129914,0.4253210291809409,,,,,
530.3,539.9,524.1,526.5,14219.2505,2024-10-29 07:00:00+03:00,2024-10-29 10:59:59.999000+03:00,,,,57.709313072058286,1.4427328268014572,0.6836878571302267,0.5939116596480355,53.9170506912442,0.39170506912441994,0.5388238250167862,0.4920971297584386,500.0,546.9,56.5031982942431,0.6503198294243099,0.6454274560987971,0.5685837135698912,0.5515308343254551,,,,,
