open,high,low,close,volume,open_time,close_time,MACD,MACD_signal,MACD_hist,CCI,CCI_scaled,CCI_wma,INV1,RSI,RSI_scaled,RSI_wma,INV2,lowest_low,highest_high,stoch,stoch_scaled,stoch_wma,INVLine,AVINV,Fibonacci_236,Fibonacci_382,Fibonacci_50,Fibonacci_618,Fibonacci_786
1.0,29.0,1.0,25.982,7272092.02,2024-12-16 11:00:00+03:00,2024-12-16 14:59:59.999000+03:00,,,,,,,,,,,,,,,,,,,,,,,
25.96,30.46,24.45,27.834,12056947.59,2024-12-16 15:00:00+03:00,2024-12-16 18:59:59.999000+03:00,,,,,,,,,,,,,,,,,,,,,,,
27.816,33.0,26.51,32.003,5332375.56,2024-12-16 19:00:00+03:00,2024-12-16 22:59:59.999000+03:00,,,,,,,,,,,,,,,,,,,,,,,
32.024,35.0,31.713,34.401,4277195.71,2024-12-16 23:00:00+03:00,2024-12-17 02:59:59.999000+03:00,,,,,,,,,,,,,,,,,,,,,,,
34.42,35.8,22.059,23.442,7355038.39,2024-12-17 03:00:00+03:00,2024-12-17 06:59:59.999000+03:00,,,,-79.26693405625684,-1.981673351406421,,,43.446176075962434,-0.6553823924037566,,,1.0,35.8,64.48850574712644,1.448850574712644,,,,,,,,
23.46,24.37,22.171,22.576,2382250.98,2024-12-17 07:00:00+03:00,2024-12-17 10:59:59.999000+03:00,,,,-70.50637241359402,-1.7626593103398507,,,41.587630902983605,-0.8412369097016396,,,22.059,35.8,3.762462702860051,-4.623753729713996,,,,,,,,
22.576,22.99,20.102,20.344,2728836.67,2024-12-17 11:00:00+03:00,2024-12-17 14:59:59.999000+03:00,,,,-66.42515042500487,-1.660628760625122,,,31.841543832428243,-1.8158456167571757,,,20.102,35.8,1.541597655752331,-4.845840234424767,,,,,,,,
20.336,20.913,18.201,18.456,2491505.8,2024-12-17 15:00:00+03:00,2024-12-17 18:59:59.999000+03:00,,,,-57.79438548616508,-1.4448596371541271,,,13.07310690726709,-3.692689309273291,,,18.201,35.8,1.4489459628387922,-4.855105403716121,,,,,,,,
18.452,19.7,18.443,18.925,1594353.78,2024-12-17 19:00:00+03:00,2024-12-17 22:59:59.999000+03:00,,,,-55.29056246888444,-1.3822640617221111,,,2.857316924576594,-4.714268307542341,,,18.201,35.8,4.113870106256039,-4.588612989374396,,,,,,,,
18.925,19.119,17.134,17.802,897616.28,2024-12-17 23:00:00+03:00,2024-12-18 02:59:59.999000+03:00,,,,-63.88765571942371,-1.597191392985593,,,7.129826695044088,-4.287017330495591,,,17.134,24.37,9.231619679380863,-4.0768380320619135,,,,,,,,
17.802,17.805,15.327,16.592,2452055.88,2024-12-18 03:00:00+03:00,2024-12-18 06:59:59.999000+03:00,,,,-88.12372501714266,-2.2030931254285666,,,6.775498410863918,-4.322450158913608,,,15.327,22.99,16.507895080255764,-3.3492104919744237,,,,,,,,
16.601,17.495,15.988,17.209,1441333.93,2024-12-18 07:00:00+03:00,2024-12-18 10:59:59.999000+03:00,,,,-41.86565006375817,-1.0466412515939543,,,20.463538722442067,-2.9536461277557935,,,15.327,20.913,33.69137128535624,-1.630862871464376,,,,,,,,
17.2,18.5,16.911,17.507,1478672.02,2024-12-18 11:00:00+03:00,2024-12-18 14:59:59.999000+03:00,,,,-7.731868595342447,-0.19329671488356118,-1.4747008451265897,-0.9004704060675578,37.234328759752536,-1.2765671240247465,-2.7287892529853273,-0.9915084703921955,15.327,19.7,49.851360621998666,-0.014863937800133443,-2.948470790646387,-0.9945193877967837,-0.9621660880855124,,,,,
17.51,17.767,16.515,16.684,1219966.53,2024-12-18 15:00:00+03:00,2024-12-18 18:59:59.999000+03:00,,,,-60.79969419875021,-1.5199923549687553,-1.4234029566335158,-0.8903066826860814,22.476050110537983,-2.752394988946202,-2.961790652601154,-0.994663077763894,15.327,19.119,35.785864978902985,-1.4214135021097016,-3.267389021404425,-0.9971001082211589,-0.9606899562237113,,,,,
16.686,17.171,16.12,16.139,953269.28,2024-12-18 19:00:00+03:00,2024-12-18 22:59:59.999000+03:00,,,,-85.17097734532491,-2.129274433633123,-1.4641379703327682,-0.8984532952628238,26.195247638133438,-2.380475236186656,-3.1328171333217116,-0.996206194940356,15.327,18.5,25.59092341632522,-2.440907658367478,-3.0248505690325898,-0.9952939659216711,-0.9633178187082837,,,,,
16.147,16.605,15.3,16.222,1526167.61,2024-12-18 23:00:00+03:00,2024-12-19 02:59:59.999000+03:00,,,,-58.90769947229833,-1.4726924868074585,-1.4432561621308055,-0.8943513026474722,42.18089602704996,-0.7819103972950039,-3.0179354422703595,-0.9952285844737545,15.3,18.5,28.812500000000025,-2.1187499999999977,-2.7218405429853934,-0.9913901477795033,-0.96032334496691,,,,,
16.227,16.708,15.367,16.266,1101909.98,2024-12-19 03:00:00+03:00,2024-12-19 06:59:59.999000+03:00,,,,-34.9357340789812,-0.87339335197453,-1.3797599082219614,-0.8808974941557767,23.70329057445622,-2.6296709425543785,-2.8998222904127022,-0.9939610278429448,15.3,18.5,30.18749999999993,-1.9812500000000073,-2.4025232759058253,-0.983756368401876,-0.9528716301335325,,,,,
16.265,17.859,16.085,16.895,1193452.66,2024-12-19 07:00:00+03:00,2024-12-19 10:59:59.999000+03:00,,,,91.74473787894796,2.293618446973699,-0.9713285183668714,-0.7492875131330677,35.593220338983016,-1.4406779661016984,-2.536090030252631,-0.987540626554179,15.3,17.859,62.32903477921056,1.232903477921056,-1.755688112872997,-0.9420194596258405,-0.8929491997710292,,,,,
16.889,16.978,16.355,16.548,562087.0,2024-12-19 11:00:00+03:00,2024-12-19 14:59:59.999000+03:00,,,,28.843102687905148,0.7210775671976287,-0.7137430783465135,-0.6130186553003002,45.873786407766914,-0.41262135922330856,-2.105601589000155,-0.9707763114288644,15.3,17.859,48.76905041031642,-0.12309495896835827,-1.3163833269737133,-0.8658816898015245,-0.8165588855102297,,,,,
16.545,16.979,15.757,15.883,793841.34,2024-12-19 15:00:00+03:00,2024-12-19 18:59:59.999000+03:00,,,,-84.22365936334778,-2.1055914840836945,-0.7029095626415276,-0.6062113446991367,42.76018099547512,-0.7239819004524883,-1.705771782504475,-0.9361267178566934,15.3,17.859,22.78233685033209,-2.721766314966791,-1.2466673073061987,-0.8473464573719263,-0.7965615066425856,,,,,
15.883,15.975,14.661,14.993,760232.54,2024-12-19 19:00:00+03:00,2024-12-19 22:59:59.999000+03:00,,,,-102.65374751171335,-2.566343687792834,-0.8717653888858476,-0.7022699695546188,26.135922330097046,-2.3864077669902954,-1.642745297974975,-0.9278553695360814,14.661,17.859,10.381488430268934,-3.961851156973107,-1.5056660056960576,-0.9061669033678981,-0.8454307474861995,,,,,
14.993,15.565,14.607,15.245,484597.77,2024-12-19 23:00:00+03:00,2024-12-20 02:59:59.999000+03:00,,,,-54.582921025557894,-1.3645730256389474,-1.0019072011920018,-0.7623939688121537,31.65648580668345,-1.8343514193316552,-1.704721330786854,-0.9359966840660455,14.607,17.859,19.618696186961852,-3.038130381303815,-1.841584499418689,-0.9509470081517059,-0.883112553676635,,,,,
15.243,16.813,15.077,16.298,975901.84,2024-12-20 03:00:00+03:00,2024-12-20 06:59:59.999000+03:00,,,,50.52148606711062,1.2630371516777656,-0.6926817004534994,-0.5997020095282147,40.69223573433113,-0.9307764265668873,-1.5023192683002635,-0.9055664820949735,14.607,16.979,71.2900505902192,2.1290050590219196,-1.447093548181842,-0.8951166702965105,-0.8001283873065663,,,,,
16.299,17.59,16.221,16.373,1089297.72,2024-12-20 07:00:00+03:00,2024-12-20 10:59:59.999000+03:00,,,,66.16690334845129,1.6541725837112822,-0.2722986985263433,-0.2657624797597438,47.01873935264059,-0.29812606473594133,-1.2709471381390731,-0.8540541481003991,14.607,17.59,59.20214549111638,0.9202145491116384,-1.073635525128607,-0.7908269827139388,-0.6368812035246939,,,,,
16.371,16.395,15.05,15.338,899614.11,2024-12-20 11:00:00+03:00,2024-12-20 14:59:59.999000+03:00,,,,-32.46476488986812,-0.8116191222467031,-0.1988461024640371,-0.19626612296652698,41.754916792738285,-0.8245083207261715,-1.2756802407425358,-0.8553297196895517,14.607,17.59,24.50553134428427,-2.549446865571573,-1.1214907324143375,-0.8080868178101365,-0.6198942201554051,,,,,
15.336,18.39,15.302,17.444,2065291.93,2024-12-20 15:00:00+03:00,2024-12-20 18:59:59.999000+03:00,-1.9805402564437422,,,96.86322716334551,2.421580679083638,0.16726212320909264,0.16571957354012015,77.10683477106832,2.710683477106832,-0.6823075274468461,-0.5930174826433329,14.607,18.39,74.99339148823682,2.4993391488236827,-0.6236474936561498,-0.553662518634445,-0.3269868092458859,,,,,
17.444,17.768,16.878,17.692,948016.21,2024-12-20 19:00:00+03:00,2024-12-20 22:59:59.999000+03:00,-1.7540450012471887,,,74.32958979650705,1.8582397449126764,0.11888671186897905,0.11832974362381572,77.08656187735221,2.708656187735221,-0.2212703992427439,-0.21772857070994645,15.05,18.39,79.10179640718562,2.910179640718562,-0.4372834755675379,-0.4113901922701339,-0.17026300645208822,,,,,
17.696,19.6,17.33,19.527,1109221.19,2024-12-20 23:00:00+03:00,2024-12-21 02:59:59.999000+03:00,-1.4102205705234248,,,95.73232009481804,2.393308002370451,0.3046900935548482,0.2955988028395563,80.46801283260992,3.046801283260992,0.16310989436662285,0.16167861988360308,15.05,19.6,98.3956043956044,4.83956043956044,0.11412267982455074,0.11362980328889351,0.1903024086706843,,,,,
19.531,22.22,18.722,19.069,2412644.77,2024-12-21 03:00:00+03:00,2024-12-21 06:59:59.999000+03:00,-1.1613071781270463,,,50.9373613498954,1.273434033747385,0.680137373313857,0.5916086952262382,73.72404083069338,2.3724040830693385,0.5071527814246036,0.46772381799414964,15.05,22.22,56.052998605299855,0.6052998605299855,0.4837966993241925,0.4492791026039066,0.5028705386080982,,,,,
