open,high,low,close,volume,open_time,close_time,MACD,MACD_signal,MACD_hist,CCI,CCI_scaled,CCI_wma,INV1,RSI,RSI_scaled,RSI_wma,INV2,lowest_low,highest_high,stoch,stoch_scaled,stoch_wma,INVLine,AVINV,Fibonacci_236,Fibonacci_382,Fibonacci_50,Fibonacci_618,Fibonacci_786
2.067,2.08,1.781,1.917,17155193.9,2024-10-25 23:00:00+03:00,2024-10-26 02:59:59.999000+03:00,,,,,,,,,,,,,,,,,,,,,,,
1.918,1.975,1.892,1.962,12008701.1,2024-10-26 03:00:00+03:00,2024-10-26 06:59:59.999000+03:00,,,,,,,,,,,,,,,,,,,,,,,
1.961,2.013,1.958,1.982,4712663.8,2024-10-26 07:00:00+03:00,2024-10-26 10:59:59.999000+03:00,,,,,,,,,,,,,,,,,,,,,,,
1.982,2.011,1.979,2.001,2500672.1,2024-10-26 11:00:00+03:00,2024-10-26 14:59:59.999000+03:00,,,,,,,,,,,,,,,,,,,,,,,
2.001,2.007,1.94,1.975,4737163.3,2024-10-26 15:00:00+03:00,2024-10-26 18:59:59.999000+03:00,,,,16.084250842826428,0.4021062710706607,,,76.36363636363647,2.6363636363636473,,,1.781,2.08,64.88294314381272,1.4882943143812726,,,,,,,,
1.974,2.041,1.973,2.024,3888214.8,2024-10-26 19:00:00+03:00,2024-10-26 22:59:59.999000+03:00,,,,96.96472998076757,2.4241182495191893,,,83.64779874213845,3.364779874213845,,,1.892,2.041,88.59060402684571,3.8590604026845714,,,,,,,,
2.024,2.047,2.002,2.01,2223043.6,2024-10-26 23:00:00+03:00,2024-10-27 02:59:59.999000+03:00,,,,38.508146836553024,0.9627036709138257,,,68.74999999999994,1.8749999999999944,,,1.94,2.047,65.42056074766327,1.5420560747663274,,,,,,,,
2.01,2.028,1.986,2.025,1803521.4,2024-10-27 03:00:00+03:00,2024-10-27 06:59:59.999000+03:00,,,,58.51918189129934,1.4629795472824836,,,67.47967479674794,1.7479674796747944,,,1.94,2.047,79.4392523364484,2.9439252336448405,,,,,,,,
2.024,2.03,1.997,2.008,2108739.6,2024-10-27 07:00:00+03:00,2024-10-27 10:59:59.999000+03:00,,,,-1.3180984822353377,-0.032952462055883446,,,52.892561983471126,0.2892561983471126,,,1.94,2.047,63.55140186915881,1.355140186915881,,,,,,,,
2.009,2.018,1.968,1.979,2062651.7,2024-10-27 11:00:00+03:00,2024-10-27 14:59:59.999000+03:00,,,,-108.28442484983344,-2.7071106212458362,,,51.61290322580645,0.16129032258064485,,,1.968,2.047,13.924050632911513,-3.6075949367088485,,,,,,,,
1.979,2.025,1.977,2.011,2330903.9,2024-10-27 15:00:00+03:00,2024-10-27 18:59:59.999000+03:00,,,,17.42762194077607,0.4356905485194018,,,43.925233644859865,-0.6074766355140135,,,1.968,2.047,54.430379746835506,0.4430379746835506,,,,,,,,
2.011,2.037,1.985,2.001,2958422.4,2024-10-27 19:00:00+03:00,2024-10-27 22:59:59.999000+03:00,,,,-15.02727730686718,-0.37568193267167954,,,45.63106796116511,-0.4368932038834892,,,1.968,2.037,47.82608695652166,-0.21739130434783435,,,,,,,,
2.001,2.077,1.996,2.042,2782095.0,2024-10-27 23:00:00+03:00,2024-10-28 02:59:59.999000+03:00,,,,99.4192902397488,2.48548225599372,0.5619261697028759,0.5094051729661181,56.58914728682167,0.6589147286821672,1.0765780444960782,0.7919266667750631,1.968,2.077,67.8899082568806,1.7889908256880602,1.06616875241198,0.7880134227115011,0.6964484208175609,,,,,
2.043,2.047,1.952,1.955,4075134.9,2024-10-28 03:00:00+03:00,2024-10-28 06:59:59.999000+03:00,,,,-86.3864588999527,-2.1596614724988177,0.27728530930626705,0.27039071578715795,36.683417085427145,-1.3316582914572856,0.6356867191826411,0.5619555345103953,1.952,2.077,2.400000000000091,-4.759999999999991,0.37191382859183975,0.3556645835762154,0.39600361129125616,,,,,
1.955,2.011,1.935,2.003,3900819.6,2024-10-28 07:00:00+03:00,2024-10-28 10:59:59.999000+03:00,,,,1.2824729401063004,0.03206182350265751,0.011501261971096874,0.011500754872680881,55.504587155963314,0.5504587155963314,0.3229843682251396,0.31220290503625014,1.935,2.077,47.88732394366205,-0.21126760563379535,-0.0803448389990899,-0.08017240107729695,0.08117708627721136,,,,,
2.004,2.035,1.999,2.004,4263770.5,2024-10-28 11:00:00+03:00,2024-10-28 14:59:59.999000+03:00,,,,6.480335690082631,0.16200839225206579,-0.07746488010243201,-0.07731030051775072,48.12834224598927,-0.18716577540107268,0.09385483762502103,0.09358022452322975,1.935,2.077,48.59154929577465,-0.14084507042253522,-0.26733385513118574,-0.2611422434458821,-0.08162410648013435,,,,,
2.004,2.016,1.925,1.929,7427682.0,2024-10-28 15:00:00+03:00,2024-10-28 18:59:59.999000+03:00,,,,-86.0956249936099,-2.1523906248402476,-0.47917267700495775,-0.4455807903076091,35.71428571428572,-1.428571428571428,-0.25909392995789254,-0.25344785962707495,1.925,2.077,2.631578947368425,-4.7368421052631575,-1.1207524483431854,-0.8078304835339993,-0.5022863778228944,,,,,
1.929,1.993,1.883,1.991,5205656.7,2024-10-28 19:00:00+03:00,2024-10-28 22:59:59.999000+03:00,,,,29.38988426356476,0.734747106589119,-0.3938727249332908,-0.37469406013310774,40.65934065934071,-0.9340659340659294,-0.3950186113371194,-0.3756786459138269,1.883,2.047,65.85365853658537,1.585365853658537,-1.0951718187051125,-0.7987580173103874,-0.5163769077857739,,,,,
1.991,2.097,1.988,2.052,6444002.4,2024-10-28 23:00:00+03:00,2024-10-29 02:59:59.999000+03:00,,,,85.04834239834521,2.1262085599586302,0.14316273964498333,0.14219262477403535,69.63562753036437,1.9635627530364375,-0.19476611906425362,-0.19234018015887558,1.883,2.097,78.97196261682247,2.8971962616822466,-0.372417241106102,-0.3561042370133157,-0.13541726413271865,,,,,
2.052,2.13,2.04,2.089,6513843.7,2024-10-29 03:00:00+03:00,2024-10-29 06:59:59.999000+03:00,,,,82.96540307431016,2.074135076857754,0.325212131682578,0.314212126166981,68.22033898305084,1.8220338983050839,0.075179495804535,0.07503817820208618,1.883,2.13,83.40080971659921,3.3400809716599213,-0.05052357477539419,-0.0504806292665116,0.11292322503418521,,,,,
