open,high,low,close,volume,open_time,close_time,MACD,MACD_signal,MACD_hist,CCI,CCI_scaled,CCI_wma,INV1,RSI,RSI_scaled,RSI_wma,INV2,lowest_low,highest_high,stoch,stoch_scaled,stoch_wma,INVLine,AVINV,Fibonacci_236,Fibonacci_382,Fibonacci_50,Fibonacci_618,Fibonacci_786
7.6,7.66,7.08,7.36,91660.53,2024-10-25 23:00:00+03:00,2024-10-26 02:59:59.999000+03:00,,,,,,,,,,,,,,,,,,,,,,,
7.35,7.38,7.19,7.31,40545.78,2024-10-26 03:00:00+03:00,2024-10-26 06:59:59.999000+03:00,,,,,,,,,,,,,,,,,,,,,,,
7.31,7.42,7.29,7.32,25121.57,2024-10-26 07:00:00+03:00,2024-10-26 10:59:59.999000+03:00,,,,,,,,,,,,,,,,,,,,,,,
7.32,7.36,7.29,7.31,12441.74,2024-10-26 11:00:00+03:00,2024-10-26 14:59:59.999000+03:00,,,,,,,,,,,,,,,,,,,,,,,
7.31,7.33,7.1,7.18,41457.19,2024-10-26 15:00:00+03:00,2024-10-26 18:59:59.999000+03:00,,,,-113.65177808493297,-2.8412944521233245,,,5.000000000000298,-4.499999999999971,,,7.08,7.66,17.241379310344765,-3.275862068965523,,,,,,,,
7.18,7.3,7.16,7.28,15687.56,2024-10-26 19:00:00+03:00,2024-10-26 22:59:59.999000+03:00,,,,1.0230257240822438e-12,2.5575643102056095e-14,,,36.666666666666764,-1.3333333333333237,,,7.1,7.42,56.25000000000014,0.6250000000000142,,,,,,,,
7.28,7.35,7.27,7.31,16019.66,2024-10-26 23:00:00+03:00,2024-10-27 02:59:59.999000+03:00,,,,34.55473702325447,0.8638684255813618,,,50.0,0.0,,,7.1,7.42,65.62499999999993,1.562499999999993,,,,,,,,
7.31,7.37,7.27,7.36,10292.67,2024-10-27 03:00:00+03:00,2024-10-27 06:59:59.999000+03:00,,,,71.79388843144986,1.7948472107862465,,,56.24999999999998,0.6249999999999979,,,7.1,7.37,96.29629629629638,4.629629629629638,,,,,,,,
7.36,7.42,7.34,7.36,12080.9,2024-10-27 07:00:00+03:00,2024-10-27 10:59:59.999000+03:00,,,,55.6327965460105,1.3908199136502626,,,58.064516129032356,0.8064516129032356,,,7.1,7.42,81.25000000000014,3.125000000000014,,,,,,,,
7.35,7.41,7.33,7.35,13746.12,2024-10-27 11:00:00+03:00,2024-10-27 14:59:59.999000+03:00,,,,33.67281199598108,0.841820299899527,,,94.73684210526284,4.473684210526284,,,7.16,7.42,73.07692307692295,2.3076923076922955,,,,,,,,
7.35,7.45,7.34,7.42,23434.21,2024-10-27 15:00:00+03:00,2024-10-27 18:59:59.999000+03:00,,,,101.60010160015666,2.5400025400039166,,,93.74999999999962,4.374999999999962,,,7.27,7.45,83.33333333333326,3.333333333333326,,,,,,,,
7.43,7.47,7.41,7.45,14737.68,2024-10-27 19:00:00+03:00,2024-10-27 22:59:59.999000+03:00,,,,93.12522120559929,2.3281305301399824,,,93.74999999999966,4.374999999999966,,,7.27,7.47,90.00000000000023,4.000000000000023,,,,,,,,
7.46,7.51,7.44,7.48,17099.64,2024-10-27 23:00:00+03:00,2024-10-28 02:59:59.999000+03:00,,,,80.51708111021244,2.0129270277553113,0.9923468328548122,0.7583612418537893,92.85714285714245,4.285714285714245,1.4563907528678217,0.8969493354506781,7.33,7.51,83.33333333333366,3.333333333333366,2.1822918372247937,0.9748796304117117,0.8767300692387264,,,,,
7.48,7.66,7.43,7.43,73133.87,2024-10-28 03:00:00+03:00,2024-10-28 06:59:59.999000+03:00,,,,5.5244719364332315,0.1381117984108308,1.3233919718030518,0.8676249874354885,68.42105263157858,1.8421052631578576,2.161069115440914,0.9738046988964989,7.33,7.66,30.303030303030187,-1.9696969696969813,2.3274212926990767,0.9811485572480962,0.9408594145266945,,,,,
7.44,7.54,7.36,7.5,18509.84,2024-10-28 07:00:00+03:00,2024-10-28 10:59:59.999000+03:00,,,,87.26140387195494,2.1815350967988736,1.565784760336257,0.9163526717257853,79.99999999999986,2.999999999999986,2.6425505969223924,0.9899180415156029,7.34,7.66,50.0,0.0,2.2579768482546303,0.9783701365953185,0.961546949945569,,,,,
7.5,7.61,7.45,7.58,39757.34,2024-10-28 11:00:00+03:00,2024-10-28 14:59:59.999000+03:00,,,,105.65294759093645,2.6413236897734116,1.7632797896909294,0.9428681913909781,80.7692307692306,3.0769230769230607,2.9844309388027326,0.9948987444496802,7.36,7.66,73.3333333333333,2.33333333333333,2.343624996402779,0.9817442033565544,0.9731703797324043,,,,,
7.59,7.61,7.42,7.42,28444.85,2024-10-28 15:00:00+03:00,2024-10-28 18:59:59.999000+03:00,,,,-64.39495179447614,-1.6098737948619037,1.3849774557300234,0.8820609690533318,46.153846153846146,-0.3846153846153854,2.872251451623246,0.9936197687587596,7.36,7.66,19.999999999999883,-3.000000000000012,1.4958883708883737,0.9044024836873727,0.9266944071664881,,,,,
7.42,7.76,7.33,7.7,50798.52,2024-10-28 19:00:00+03:00,2024-10-28 22:59:59.999000+03:00,,,,99.54239925225602,2.4885599813064005,1.5069485743584832,0.9063960391460543,67.18749999999994,1.7187499999999944,2.973617939078441,0.9947875138182912,7.33,7.76,86.04651162790707,3.6046511627907067,1.5491829445317837,0.9136505784731982,0.9382780438125146,,,,,
7.7,7.75,7.57,7.66,26621.73,2024-10-28 23:00:00+03:00,2024-10-29 02:59:59.999000+03:00,,,,51.21822168976954,1.2804555422442387,1.5556858235078959,0.9147187696712014,68.25396825396827,1.825396825396827,2.679363785175168,0.9906303190971294,7.33,7.76,76.7441860465117,2.67441860465117,1.5899303108605478,0.9201386463074623,0.9418292450252643,,,,,
7.67,7.82,7.65,7.78,27512.23,2024-10-29 03:00:00+03:00,2024-10-29 06:59:59.999000+03:00,,,,74.06267718592737,1.8515669296481843,1.4791929779128143,0.9013166777860897,70.58823529411765,2.0588235294117654,2.422010843998702,0.9843724356305339,7.33,7.82,91.83673469387755,4.183673469387755,1.6844125481999288,0.9334318157558232,0.9397069763908156,,,,,
