open,high,low,close,volume,open_time,close_time,MACD,MACD_signal,MACD_hist,CCI,CCI_scaled,CCI_wma,INV1,RSI,RSI_scaled,RSI_wma,INV2,lowest_low,highest_high,stoch,stoch_scaled,stoch_wma,INVLine,AVINV,Fibonacci_236,Fibonacci_382,Fibonacci_50,Fibonacci_618,Fibonacci_786,macd_signal,buy_signal,sell_signal
0.5368,0.5409,0.483,0.5069,34897686.4,2024-10-25 23:00:00+03:00,2024-10-26 02:59:59.999000+03:00,,,,,,,,,,,,,,,,,,,,,,,,Hold (Hala Buy),False,False
0.5069,0.5139,0.497,0.5133,20901393.4,2024-10-26 03:00:00+03:00,2024-10-26 06:59:59.999000+03:00,,,,,,,,,,,,,,,,,,,,,,,,Hold (Hala Buy),False,False
0.5132,0.5212,0.512,0.5128,8608014.1,2024-10-26 07:00:00+03:00,2024-10-26 10:59:59.999000+03:00,,,,,,,,,,,,,,,,,,,,,,,,Hold (Hala Buy),False,False
0.5127,0.5173,0.5117,0.5155,5788195.8,2024-10-26 11:00:00+03:00,2024-10-26 14:59:59.999000+03:00,,,,,,,,,,,,,,,,,,,,,,,,Hold (Hala Buy),False,False
0.5154,0.5171,0.4982,0.5042,11910439.1,2024-10-26 15:00:00+03:00,2024-10-26 18:59:59.999000+03:00,,,,-88.72623278501324,-2.218155819625331,,,43.54066985645918,-0.6459330143540818,,,0.483,0.5409,36.61485319516403,-1.338514680483597,,,,,,,,,Hold (Hala Buy),False,False
0.5042,0.5155,0.5033,0.5147,5441046.3,2024-10-26 19:00:00+03:00,2024-10-26 22:59:59.999000+03:00,,,,38.12978742798007,0.9532446856995018,,,62.4203821656052,1.2420382165605195,,,0.497,0.5212,73.1404958677688,2.3140495867768807,,,,,,,,,Hold (Hala Buy),False,False
0.5148,0.5197,0.5132,0.5144,3910150.0,2024-10-26 23:00:00+03:00,2024-10-27 02:59:59.999000+03:00,,,,29.859133927654764,0.7464783481913692,,,52.17391304347824,0.2173913043478237,,,0.4982,0.5212,70.43478260869556,2.0434782608695556,,,,,,,,,Hold (Hala Buy),False,False
0.5144,0.5168,0.5113,0.5167,3203615.5,2024-10-27 03:00:00+03:00,2024-10-27 06:59:59.999000+03:00,,,,47.48520182382106,1.1871300455955265,,,57.19557195571955,0.7195571955719551,,,0.4982,0.5197,86.04651162790701,3.604651162790701,,,,,,,,,Hold (Hala Buy),False,False
0.5167,0.5172,0.5131,0.5139,4468636.8,2024-10-27 07:00:00+03:00,2024-10-27 10:59:59.999000+03:00,,,,15.197953744913471,0.3799488436228369,,,47.05882352941191,-0.294117647058809,,,0.4982,0.5197,73.02325581395345,2.302325581395346,,,,,,,,,Hold (Hala Buy),False,False
0.5139,0.5157,0.5066,0.5079,5366238.0,2024-10-27 11:00:00+03:00,2024-10-27 14:59:59.999000+03:00,,,,-112.95598217620169,-2.8238995544050423,,,58.44748858447487,0.8447488584474869,,,0.5033,0.5197,28.048780487805036,-2.1951219512194964,,,,,,,,,Hold (Hala Buy),False,False
