open,high,low,close,volume,open_time,close_time,MACD,MACD_signal,MACD_hist,CCI,CCI_scaled,CCI_wma,INV1,RSI,RSI_scaled,RSI_wma,INV2,lowest_low,highest_high,stoch,stoch_scaled,stoch_wma,INVLine,AVINV,Fibonacci_236,Fibonacci_382,Fibonacci_50,Fibonacci_618,Fibonacci_786,macd_signal,buy_signal,sell_signal
25.9,26.09,24.01,24.93,908770.28,2024-10-25 23:00:00+03:00,2024-10-26 02:59:59.999000+03:00,,,,,,,,,,,,,,,,,,,,,,,,Hold (Hala Buy),False,False
24.94,25.37,24.56,25.29,425192.84,2024-10-26 03:00:00+03:00,2024-10-26 06:59:59.999000+03:00,,,,,,,,,,,,,,,,,,,,,,,,Hold (Hala Buy),False,False
25.28,25.6,25.22,25.43,133778.57,2024-10-26 07:00:00+03:00,2024-10-26 10:59:59.999000+03:00,,,,,,,,,,,,,,,,,,,,,,,,Hold (Hala Buy),False,False
25.42,25.67,25.4,25.62,101279.34,2024-10-26 11:00:00+03:00,2024-10-26 14:59:59.999000+03:00,,,,,,,,,,,,,,,,,,,,,,,,Hold (Hala Buy),False,False
25.61,25.68,24.9,25.08,184366.49,2024-10-26 15:00:00+03:00,2024-10-26 18:59:59.999000+03:00,,,,-46.23671740692916,-1.155917935173229,,,56.09756097560969,0.6097560975609689,,,24.01,26.09,51.44230769230758,0.1442307692307579,,,,,,,,,Hold (Hala Buy),False,False
25.09,25.48,24.98,25.44,108374.62,2024-10-26 19:00:00+03:00,2024-10-26 22:59:59.999000+03:00,,,,22.562555053458528,0.5640638763364633,,,66.03773584905659,1.603773584905659,,,24.56,25.68,78.57142857142873,2.8571428571428727,,,,,,,,,Hold (Hala Buy),False,False
25.44,25.62,25.29,25.41,89879.7,2024-10-26 23:00:00+03:00,2024-10-27 02:59:59.999000+03:00,,,,4.767243848226492,0.1191810962056623,,,54.761904761904766,0.4761904761904766,,,24.9,25.68,65.38461538461549,1.5384615384615488,,,,,,,,,Hold (Hala Buy),False,False
25.41,25.6,25.25,25.59,78704.63,2024-10-27 03:00:00+03:00,2024-10-27 06:59:59.999000+03:00,,,,50.262468995001605,1.2565617248750405,,,56.15384615384612,0.6153846153846119,,,24.9,25.68,88.4615384615385,3.84615384615385,,,,,,,,,Hold (Hala Buy),False,False
25.59,25.61,25.43,25.45,63041.11,2024-10-27 07:00:00+03:00,2024-10-27 10:59:59.999000+03:00,,,,19.778295296987633,0.4944573824246908,,,43.19999999999997,-0.6800000000000033,,,24.9,25.68,70.5128205128205,2.0512820512820498,,,,,,,,,Hold (Hala Buy),False,False
25.45,25.55,25.3,25.37,57521.82,2024-10-27 11:00:00+03:00,2024-10-27 14:59:59.999000+03:00,,,,-65.71576170069012,-1.6428940425172531,,,68.35443037974694,1.8354430379746944,,,24.98,25.62,60.937500000000036,1.0937500000000036,,,,,,,,,Hold (Hala Buy),False,False
