open,high,low,close,volume,open_time,close_time,MACD,MACD_signal,MACD_hist,CCI,CCI_scaled,CCI_wma,INV1,RSI,RSI_scaled,RSI_wma,INV2,lowest_low,highest_high,stoch,stoch_scaled,stoch_wma,INVLine,AVINV,Fibonacci_236,Fibonacci_382,Fibonacci_50,Fibonacci_618,Fibonacci_786,macd_signal,buy_signal,sell_signal
0.9997,1.0,0.9995,0.9997,105090652.0,2024-10-25 23:00:00+03:00,2024-10-26 02:59:59.999000+03:00,,,,,,,,,,,,,,,,,,,,,,,,Hold (Hala Buy),False,False
0.9998,1.0,0.9995,1.0,114168165.0,2024-10-26 03:00:00+03:00,2024-10-26 06:59:59.999000+03:00,,,,,,,,,,,,,,,,,,,,,,,,Hold (Hala Buy),False,False
0.9999,1.0001,0.9998,0.9998,36217298.0,2024-10-26 07:00:00+03:00,2024-10-26 10:59:59.999000+03:00,,,,,,,,,,,,,,,,,,,,,,,,Hold (Hala Buy),False,False
0.9998,0.9999,0.9998,0.9998,19802074.0,2024-10-26 11:00:00+03:00,2024-10-26 14:59:59.999000+03:00,,,,,,,,,,,,,,,,,,,,,,,,Hold (Hala Buy),False,False
0.9999,0.9999,0.9995,0.9996,27810314.0,2024-10-26 15:00:00+03:00,2024-10-26 18:59:59.999000+03:00,,,,-80.90398349558681,-2.0225995873896703,,,42.857142857142854,-0.7142857142857146,,,0.9995,1.0001,16.666666666666668,-3.333333333333333,,,,,,,,,Hold (Hala Buy),False,False
0.9995,1.0,0.9995,0.9998,44743734.0,2024-10-26 19:00:00+03:00,2024-10-26 22:59:59.999000+03:00,,,,-5.233641528946972e-11,-1.308410382236743e-12,,,55.55555555555556,0.5555555555555557,,,0.9995,1.0001,50.0,0.0,,,,,,,,,Hold (Hala Buy),False,False
0.9999,1.0,0.9998,1.0,23096874.0,2024-10-26 23:00:00+03:00,2024-10-27 02:59:59.999000+03:00,,,,94.2809041581626,2.3570226039540656,,,50.0,0.0,,,0.9995,1.0001,83.33333333333333,3.333333333333333,,,,,,,,,Hold (Hala Buy),False,False
0.9999,1.0001,0.9998,0.9998,30933013.0,2024-10-27 03:00:00+03:00,2024-10-27 06:59:59.999000+03:00,,,,5.233641528946972e-11,1.308410382236743e-12,,,50.0,0.0,,,0.9995,1.0001,50.0,0.0,,,,,,,,,Hold (Hala Buy),False,False
0.9999,0.9999,0.9997,0.9998,16044989.0,2024-10-27 07:00:00+03:00,2024-10-27 10:59:59.999000+03:00,,,,-5.233641528946972e-11,-1.308410382236743e-12,,,50.0,0.0,,,0.9995,1.0001,50.0,0.0,,,,,,,,,Hold (Hala Buy),False,False
0.9999,1.0,0.9998,0.9999,22721365.0,2024-10-27 11:00:00+03:00,2024-10-27 14:59:59.999000+03:00,,,,29.814239700036076,0.7453559925009019,,,71.42857142857143,2.1428571428571432,,,0.9995,1.0001,66.66666666666667,1.6666666666666672,,,,,,,,,Hold (Hala Buy),False,False
0.9998,1.0002,0.9998,1.0,76898490.0,2024-10-27 15:00:00+03:00,2024-10-27 18:59:59.999000+03:00,,,,66.66666666674084,1.666666666668521,,,66.66666666666666,1.666666666666666,,,0.9997,1.0002,60.0,1.0,,,,,,,,,Hold (Hala Buy),False,False
1.0001,1.0002,0.9998,0.9999,43032096.0,2024-10-27 19:00:00+03:00,2024-10-27 22:59:59.999000+03:00,,,,15.936381457897497,0.3984095364474374,,,39.99999999999999,-1.0000000000000009,,,0.9997,1.0002,40.0,-1.0,,,,,,,,,Hold (Hala Buy),False,False
0.9998,1.0001,0.9998,0.9999,34359004.0,2024-10-27 23:00:00+03:00,2024-10-28 02:59:59.999000+03:00,,,,0.0,0.0,0.349428356908883,0.3358684843617275,66.66666666666666,1.666666666666666,0.4797178130511461,0.4460175876794167,0.9997,1.0002,40.0,-1.0,0.0740740740740741,0.0739388900640155,0.2852749873683866,,,,,,Hold (Hala Buy),False,False
0.9999,1.0,0.9998,0.9999,39703537.0,2024-10-28 03:00:00+03:00,2024-10-28 06:59:59.999000+03:00,,,,-29.81423970010409,-0.7453559925026022,0.491344311896335,0.4552827443980546,66.66666666666666,1.666666666666666,0.7442680776014107,0.6317169116448933,0.9998,1.0002,25.0,-2.5,0.1666666666666666,0.1651404129246293,0.4173800229891924,,,,,,Hold (Hala Buy),False,False
0.9999,1.0004,0.9999,1.0,48285289.0,2024-10-28 07:00:00+03:00,2024-10-28 10:59:59.999000+03:00,,,,73.02967433430987,1.825741858357747,0.6942045183806747,0.6006762669276932,66.66666666666666,1.666666666666666,0.8677248677248673,0.7002163491388095,0.9998,1.0004,33.333333333333336,-1.6666666666666663,-0.0185185185185185,-0.0185164019228843,0.4274587380478727,,,,,,Hold (Hala Buy),False,False
1.0,1.0001,0.9999,1.0001,53730528.0,2024-10-28 11:00:00+03:00,2024-10-28 14:59:59.999000+03:00,,,,104.34983895010464,2.6087459737526166,0.7221737816916246,0.6182539876870796,66.66666666666666,1.666666666666666,1.0529100529100524,0.7829351532360728,0.9998,1.0004,50.0,0.0,-0.3888888888888888,-0.3704019533306313,0.3435957291975069,,,,,,Hold (Hala Buy),False,False
1.0001,1.0003,0.9999,1.0,106350631.0,2024-10-28 15:00:00+03:00,2024-10-28 18:59:59.999000+03:00,,,,15.93638145776132,0.398409536444033,0.7664415079630386,0.6448554846482196,66.66666666666666,1.666666666666666,1.2380952380952377,0.844911472827767,0.9998,1.0004,33.333333333333336,-1.6666666666666663,-0.574074074074074,-0.5183450122201944,0.3238073150852641,,,,,,Hold (Hala Buy),False,False
1.0,1.0003,0.9998,1.0003,112348656.0,2024-10-28 19:00:00+03:00,2024-10-28 22:59:59.999000+03:00,,,,105.50087574350914,2.6375218935877287,1.0594994961395985,0.7854722246930388,83.33333333333333,3.333333333333333,1.608465608465608,0.9229329619675566,0.9998,1.0004,83.33333333333333,3.333333333333333,-0.2037037037037036,-0.2009321223245448,0.5024910214453502,,,,,,Hold (Hala Buy),False,False
1.0003,1.0007,1.0001,1.0002,102453119.0,2024-10-28 23:00:00+03:00,2024-10-29 02:59:59.999000+03:00,,,,40.90479940524157,1.0226199851310394,1.0903066064318354,0.7969900236829209,71.42857142857143,2.1428571428571432,1.608465608465608,0.9229329619675566,0.9998,1.0007,44.44444444444444,-0.5555555555555557,-0.4506172839506173,-0.4224062812412149,0.4325055681364209,,,,,,Hold (Hala Buy),False,False
1.0003,1.0004,1.0,1.0,90904073.0,2024-10-29 03:00:00+03:00,2024-10-29 06:59:59.999000+03:00,,,,-61.357199108032646,-1.5339299777008162,0.7346847570574648,0.6259230727366597,50.0,0.0,1.423280423280423,0.8902812721318974,0.9998,1.0007,22.22222222222222,-2.777777777777778,-0.8703703703703705,-0.7015622577375551,0.2715473623770006,,,,,,Hold (Hala Buy),False,False
1.0,1.0001,0.9998,0.9998,132357023.0,2024-10-29 07:00:00+03:00,2024-10-29 10:59:59.999000+03:00,,,,-88.91812384745062,-2.2229530961862656,0.4434222423203868,0.4164771119828473,33.33333333333333,-1.6666666666666672,1.3492063492063489,0.8738658318170088,0.9998,1.0007,0.0,-5.0,-1.3148148148148149,-0.8654886378607018,0.1416181019797181,,,,,,Hold (Hala Buy),False,False
0.9999,0.9999,0.9992,0.9995,63087005.0,2024-10-29 11:00:00+03:00,2024-10-29 14:59:59.999000+03:00,,,,-95.55379943696416,-2.3888449859241043,0.1779950216621529,0.1761387824316671,27.272727272727263,-2.272727272727274,0.911495911495911,0.7218494699010773,0.9992,1.0007,20.00000000000592,-2.999999999999408,-1.5370370370369717,-0.9116211357261238,-0.0045442944644597,,,,,,Hold (Hala Buy),False,False
0.9995,0.9997,0.9993,0.9996,90718201.0,2024-10-29 15:00:00+03:00,2024-10-29 18:59:59.999000+03:00,,,,-51.21822168975825,-1.2804555422439563,0.1185395161353358,0.1179873952487738,11.111111111111114,-3.888888888888889,0.2942119608786271,0.2860068770115243,0.9992,1.0007,26.666666666672093,-2.333333333332791,-1.5185185185183925,-0.908439134938367,-0.1681482875593563,,,,,,Hold (Hala Buy),False,False
