open,high,low,close,volume,open_time,close_time,MACD,MACD_signal,MACD_hist,CCI,CCI_scaled,CCI_wma,INV1,RSI,RSI_scaled,RSI_wma,INV2,lowest_low,highest_high,stoch,stoch_scaled,stoch_wma,INVLine,AVINV,Fibonacci_236,Fibonacci_382,Fibonacci_50,Fibonacci_618,Fibonacci_786,macd_signal,buy_signal,sell_signal
3.6,3.634,3.28,3.442,3686871.83,2024-10-25 23:00:00+03:00,2024-10-26 02:59:59.999000+03:00,,,,,,,,,,,,,,,,,,,,,,,,Hold (Hala Buy),False,False
3.441,3.49,3.388,3.475,1699763.67,2024-10-26 03:00:00+03:00,2024-10-26 06:59:59.999000+03:00,,,,,,,,,,,,,,,,,,,,,,,,Hold (Hala Buy),False,False
3.475,3.486,3.455,3.455,433987.98,2024-10-26 07:00:00+03:00,2024-10-26 10:59:59.999000+03:00,,,,,,,,,,,,,,,,,,,,,,,,Hold (Hala Buy),False,False
3.455,3.476,3.446,3.464,338997.57,2024-10-26 11:00:00+03:00,2024-10-26 14:59:59.999000+03:00,,,,,,,,,,,,,,,,,,,,,,,,Hold (Hala Buy),False,False
3.463,3.469,3.374,3.406,1117320.55,2024-10-26 15:00:00+03:00,2024-10-26 18:59:59.999000+03:00,,,,-106.21013885953464,-2.655253471488366,,,34.99999999999994,-1.5000000000000058,,,3.28,3.634,35.59322033898314,-1.4406779661016864,,,,,,,,,Hold (Hala Buy),False,False
3.406,3.45,3.393,3.448,484726.04,2024-10-26 19:00:00+03:00,2024-10-26 22:59:59.999000+03:00,,,,-4.042318470287285,-0.1010579617571821,,,51.851851851851784,0.1851851851851783,,,3.374,3.49,63.79310344827567,1.3793103448275674,,,,,,,,,Hold (Hala Buy),False,False
3.448,3.477,3.44,3.471,335425.78,2024-10-26 23:00:00+03:00,2024-10-27 02:59:59.999000+03:00,,,,58.10851359784863,1.4527128399462157,,,48.68421052631578,-0.1315789473684219,,,3.374,3.486,86.60714285714276,3.660714285714276,,,,,,,,,Hold (Hala Buy),False,False
3.471,3.496,3.455,3.494,420880.94,2024-10-27 03:00:00+03:00,2024-10-27 06:59:59.999000+03:00,,,,76.08843356025329,1.9022108390063324,,,62.580645161290384,1.2580645161290385,,,3.374,3.496,98.3606557377051,4.836065573770511,,,,,,,,,Hold (Hala Buy),False,False
3.495,3.506,3.472,3.487,227755.83,2024-10-27 07:00:00+03:00,2024-10-27 10:59:59.999000+03:00,,,,48.36538927839378,1.2091347319598444,,,57.51633986928109,0.751633986928109,,,3.374,3.506,85.60606060606081,3.560606060606081,,,,,,,,,Hold (Hala Buy),False,False
3.488,3.497,3.46,3.476,325127.56,2024-10-27 11:00:00+03:00,2024-10-27 14:59:59.999000+03:00,,,,3.016023959766104,0.0754005989941526,,,83.01886792452812,3.3018867924528124,,,3.393,3.506,73.45132743362849,2.3451327433628495,,,,,,,,,Hold (Hala Buy),False,False
3.475,3.532,3.475,3.525,385537.19,2024-10-27 15:00:00+03:00,2024-10-27 18:59:59.999000+03:00,,,,107.95295051697828,2.698823762924458,,,84.07079646017684,3.407079646017684,,,3.44,3.532,92.39130434782597,4.239130434782597,,,,,,,,,Hold (Hala Buy),False,False
3.525,3.534,3.505,3.517,326719.03,2024-10-27 19:00:00+03:00,2024-10-27 22:59:59.999000+03:00,,,,55.706767178453816,1.3926691794613455,,,73.46938775510188,2.346938775510188,,,3.455,3.534,78.4810126582279,2.8481012658227898,,,,,,,,,Hold (Hala Buy),False,False
3.518,3.606,3.512,3.565,994670.1,2024-10-27 23:00:00+03:00,2024-10-28 02:59:59.999000+03:00,,,,97.10323125617776,2.427580781404444,0.9335801444945826,0.7322587143608507,78.86178861788602,2.8861788617886024,1.389487646293687,0.8830581153762196,3.46,3.606,71.91780821917811,2.191780821917811,2.624462618300311,0.9895485804489648,0.8682884700620116,,,,,,Hold (Hala Buy),False,False
3.565,3.579,3.51,3.516,611386.95,2024-10-28 03:00:00+03:00,2024-10-28 06:59:59.999000+03:00,,,,-8.000310267356026,-0.2000077566839006,1.206385223917301,0.8355918893667276,58.78787878787876,0.8787878787878761,1.6537974106034516,0.9293768814433476,3.46,3.606,38.356164383561705,-1.1643835616438296,2.6551619965734057,0.9901679220155082,0.918378897608528,,,,,,Hold (Hala Buy),False,False
