open,high,low,close,volume,open_time,close_time,MACD,MACD_signal,MACD_hist,CCI,CCI_scaled,CCI_wma,INV1,RSI,RSI_scaled,RSI_wma,INV2,lowest_low,highest_high,stoch,stoch_scaled,stoch_wma,INVLine,AVINV,Fibonacci_236,Fibonacci_382,Fibonacci_50,Fibonacci_618,Fibonacci_786,macd_signal,buy_signal,sell_signal
5.091,5.157,4.691,4.9,3582042.9,2024-10-25 23:00:00+03:00,2024-10-26 02:59:59.999000+03:00,,,,,,,,,,,,,,,,,,,,,,,,Hold (Hala Buy),False,False
4.899,4.912,4.814,4.881,1804099.8,2024-10-26 03:00:00+03:00,2024-10-26 06:59:59.999000+03:00,,,,,,,,,,,,,,,,,,,,,,,,Hold (Hala Buy),False,False
4.88,5.064,4.863,5.045,1514388.9,2024-10-26 07:00:00+03:00,2024-10-26 10:59:59.999000+03:00,,,,,,,,,,,,,,,,,,,,,,,,Hold (Hala Buy),False,False
5.046,5.069,5.016,5.051,780605.2,2024-10-26 11:00:00+03:00,2024-10-26 14:59:59.999000+03:00,,,,,,,,,,,,,,,,,,,,,,,,Hold (Hala Buy),False,False
5.051,5.09,4.922,4.94,1531199.0,2024-10-26 15:00:00+03:00,2024-10-26 18:59:59.999000+03:00,,,,-19.46611586685284,-0.486652896671321,,,56.66666666666668,0.6666666666666679,,,4.691,5.157,53.43347639484988,0.3433476394849883,,,,,,,,,Hold (Hala Buy),False,False
4.941,5.023,4.927,5.002,957692.8,2024-10-26 19:00:00+03:00,2024-10-26 22:59:59.999000+03:00,,,,16.71426113194817,0.4178565282987043,,,64.08839779005521,1.4088397790055212,,,4.814,5.09,68.11594202898546,1.811594202898546,,,,,,,,,Hold (Hala Buy),False,False
5.002,5.056,4.971,5.035,877583.9,2024-10-26 23:00:00+03:00,2024-10-27 02:59:59.999000+03:00,,,,29.696729967337767,0.7424182491834442,,,70.47872340425533,2.0478723404255335,,,4.863,5.09,75.77092511013223,2.577092511013223,,,,,,,,,Hold (Hala Buy),False,False
5.035,5.119,5.027,5.118,737107.2,2024-10-27 03:00:00+03:00,2024-10-27 06:59:59.999000+03:00,,,,90.56710932741252,2.264177733185313,,,62.37288135593228,1.237288135593228,,,4.922,5.119,99.49238578680232,4.949238578680232,,,,,,,,,Hold (Hala Buy),False,False
5.118,5.261,5.118,5.183,1751835.1,2024-10-27 07:00:00+03:00,2024-10-27 10:59:59.999000+03:00,,,,88.56693261550514,2.2141733153876286,,,68.64406779661016,1.864406779661016,,,4.922,5.261,76.99115044247782,2.699115044247782,,,,,,,,,Hold (Hala Buy),False,False
5.183,5.258,5.181,5.206,967986.2,2024-10-27 11:00:00+03:00,2024-10-27 14:59:59.999000+03:00,,,,72.5725351795922,1.814313379489805,,,100.0,5.0,,,4.927,5.261,83.53293413173664,3.353293413173664,,,,,,,,,Hold (Hala Buy),False,False
5.206,5.358,5.203,5.301,1327056.9,2024-10-27 15:00:00+03:00,2024-10-27 18:59:59.999000+03:00,,,,88.7727826837383,2.2193195670934576,,,100.0,5.0,,,4.971,5.358,85.27131782945747,3.5271317829457476,,,,,,,,,Hold (Hala Buy),False,False
5.302,5.363,5.268,5.313,862997.5,2024-10-27 19:00:00+03:00,2024-10-27 22:59:59.999000+03:00,,,,71.93508934558035,1.798377233639509,,,100.0,5.0,,,5.027,5.363,85.11904761904742,3.5119047619047423,,,,,,,,,Hold (Hala Buy),False,False
5.313,5.406,5.311,5.317,1269605.5,2024-10-27 23:00:00+03:00,2024-10-28 02:59:59.999000+03:00,,,,55.00725824501109,1.375181456125277,1.3732405073035354,0.8794286056339794,100.0,5.0,3.0250081890391076,0.9952954457289814,5.118,5.406,69.09722222222231,1.9097222222222312,2.742493350730129,0.9917370988927456,0.9554870500852354,,,,,,Hold (Hala Buy),False,False
5.318,5.365,5.259,5.275,956291.6,2024-10-28 03:00:00+03:00,2024-10-28 06:59:59.999000+03:00,,,,-10.783918508734793,-0.2695979627183698,1.397357722187197,0.8847791754766426,76.13636363636377,2.613636363636377,3.241338155369075,0.9969452504576248,5.181,5.406,41.77777777777798,-0.8222222222222023,2.6129855883182183,0.9893072008296976,0.957010542254655,,,,,,Hold (Hala Buy),False,False
5.273,5.488,5.257,5.472,1751889.2,2024-10-28 07:00:00+03:00,2024-10-28 10:59:59.999000+03:00,,,,116.5926954416771,2.9148173860419275,1.6747978174919993,0.9321831837879648,88.00000000000004,3.800000000000004,3.507022624368462,0.9982032877788508,5.203,5.488,94.3859649122807,4.43859649122807,2.9048747314659433,0.9940215621720082,0.9748026779129412,,,,,,Hold (Hala Buy),False,False
5.473,5.636,5.38,5.599,3258684.6,2024-10-28 11:00:00+03:00,2024-10-28 14:59:59.999000+03:00,,,,99.3869090067347,2.484672725168368,1.8683816481569904,0.9534471801247062,89.00523560209427,3.900523560209427,3.7128727599000064,0.998809276148798,5.257,5.636,90.23746701846969,4.023746701846969,3.065614086003026,0.9956616124896824,0.9826393562543956,,,,,,Hold (Hala Buy),False,False
5.599,5.766,5.54,5.586,4464459.3,2024-10-28 15:00:00+03:00,2024-10-28 18:59:59.999000+03:00,,,,60.703948850498776,1.5175987212624695,1.785428424610008,0.945276003777968,85.63968668407318,3.5639686684073184,3.971392819101572,0.9992898210732464,5.257,5.766,64.63654223968574,1.463654223968574,2.6783269354795087,0.990610960344423,0.9783922617318792,,,,,,Hold (Hala Buy),False,False
5.583,5.752,5.556,5.739,2595688.4,2024-10-28 19:00:00+03:00,2024-10-28 22:59:59.999000+03:00,,,,78.86739484941921,1.9716848712354804,1.7584852641486584,0.9423335884672684,89.66165413533838,3.9661654135338384,4.204921556198553,0.999554769562094,5.257,5.766,94.69548133595282,4.469548133595282,2.8750417231847867,0.9936551621109494,0.9785145067134372,,,,,,Hold (Hala Buy),False,False
5.739,5.999,5.736,5.974,3969459.3,2024-10-28 23:00:00+03:00,2024-10-29 02:59:59.999000+03:00,,,,103.83552603290488,2.5958881508226224,1.84532690540786,0.95130388388424,98.20689655172416,4.820689655172416,4.184998184551042,0.999536674569948,5.257,5.999,96.6307277628033,4.66307277628033,3.0205727635299713,0.995253626156736,0.982031394870308,,,,,,Hold (Hala Buy),False,False
5.973,6.231,5.958,6.134,4221035.6,2024-10-29 03:00:00+03:00,2024-10-29 06:59:59.999000+03:00,,,,90.77468248806758,2.2693670622016895,1.850887738197664,0.9518294934205056,98.11046511627907,4.811046511627909,4.164003352509699,0.9995168102616934,5.38,6.231,88.60164512338432,3.860164512338432,3.0575764001291588,0.99559146269463,0.9823125887922762,,,,,,Hold (Hala Buy),False,False
6.135,6.186,6.036,6.082,1893846.0,2024-10-29 07:00:00+03:00,2024-10-29 10:59:59.999000+03:00,,,,51.13696107807005,1.2784240269517513,1.7931151596768018,0.9460883632393354,89.39641109298526,3.939641109298526,4.046185697987313,0.9993884599022536,5.54,6.231,78.4370477568741,2.8437047756874096,2.9833319572161217,0.9948875484394956,0.9801214571936948,,,,,,Hold (Hala Buy),False,False
6.081,6.094,5.951,6.056,2090740.9,2024-10-29 11:00:00+03:00,2024-10-29 14:59:59.999000+03:00,,,,25.31477838670987,0.6328694596677469,1.7106360489592984,0.9367255344921922,87.53993610223638,3.753993610223638,3.907740543567717,0.9991934440313932,5.556,6.231,74.07407407407409,2.407407407407409,3.0386303111255857,0.995421598077115,0.9771135255335668,,,,,,Hold (Hala Buy),False,False
6.054,6.324,6.047,6.207,3854527.3,2024-10-29 15:00:00+03:00,2024-10-29 18:59:59.999000+03:00,,,,89.16124744322202,2.2290311860805505,1.988261509936956,0.963188792686602,87.49999999999997,3.749999999999998,4.034003169830342,0.9993733814135398,5.736,6.324,80.10204081632654,3.010204081632654,3.464455455998348,0.9980437821122952,0.9868686520708124,,,,,,Hold (Hala Buy),False,False
6.206,6.206,6.034,6.048,1985049.7,2024-10-29 19:00:00+03:00,2024-10-29 22:59:59.999000+03:00,,,,-57.981129058687245,-1.4495282264671812,1.5033342196581665,0.905748954154755,56.751824817518234,0.6751824817518234,3.686801223358322,0.99874558088797,5.951,6.324,26.005361930295003,-2.3994638069704997,2.704670978420729,0.9910906979937104,0.965195077678812,,,,,,Hold (Hala Buy),False,False
6.05,6.1,5.995,6.067,1099296.7,2024-10-29 23:00:00+03:00,2024-10-30 02:59:59.999000+03:00,,,,-25.42973813022152,-0.635743453255538,1.1566213109443992,0.8199357297288068,41.76904176904175,-0.8230958230958252,3.1619546252132937,0.9964205759998052,5.951,6.324,31.09919571045589,-1.8900804289544109,2.0475790749983536,0.9672393421470904,0.9278652159585676,,,,,,Hold (Hala Buy),False,False
6.067,6.116,6.0,6.046,1219990.1,2024-10-30 03:00:00+03:00,2024-10-30 06:59:59.999000+03:00,0.2864072892034333,,,-37.59189624205269,-0.9397974060513172,0.8835772967984228,0.7082069199948661,45.212765957446855,-0.4787234042553145,2.7127666171396676,0.9912331622019463,5.951,6.324,25.469168900804444,-2.4530831099195556,1.6123860378996724,0.9235118514605531,0.8743173112191219,,,,,,Hold (Hala Buy),False,False
