open,high,low,close,volume,open_time,close_time,MACD,MACD_signal,MACD_hist,CCI,CCI_scaled,CCI_wma,INV1,RSI,RSI_scaled,RSI_wma,INV2,lowest_low,highest_high,stoch,stoch_scaled,stoch_wma,INVLine,AVINV,Fibonacci_236,Fibonacci_382,Fibonacci_50,Fibonacci_618,Fibonacci_786,macd_signal,buy_signal,sell_signal
0.0125,0.478,0.0125,0.3265,201781890.0,2024-11-19 11:00:00+03:00,2024-11-19 14:59:59.999000+03:00,,,,,,,,,,,,,,,,,,,,,,,,Hold (Hala Buy),False,False
0.3255,0.3295,0.258,0.308,163547752.0,2024-11-19 15:00:00+03:00,2024-11-19 18:59:59.999000+03:00,,,,,,,,,,,,,,,,,,,,,,,,Hold (Hala Buy),False,False
0.3081,0.3083,0.2771,0.295,43377800.0,2024-11-19 19:00:00+03:00,2024-11-19 22:59:59.999000+03:00,,,,,,,,,,,,,,,,,,,,,,,,Hold (Hala Buy),False,False
0.295,0.3,0.2768,0.2852,22485654.0,2024-11-19 23:00:00+03:00,2024-11-20 02:59:59.999000+03:00,,,,,,,,,,,,,,,,,,,,,,,,Hold (Hala Buy),False,False
0.2857,0.304,0.2621,0.276,24621331.0,2024-11-20 03:00:00+03:00,2024-11-20 06:59:59.999000+03:00,,,,-74.52568706335595,-1.8631421765838987,,,0.0,-5.0,,,0.0125,0.478,56.60580021482278,0.6605800214822779,,,,,,,,,Hold (Hala Buy),False,False
0.276,0.28,0.255,0.2669,18974413.0,2024-11-20 07:00:00+03:00,2024-11-20 10:59:59.999000+03:00,,,,-80.25708830778837,-2.0064272076947094,,,0.0,-5.0,,,0.255,0.3295,15.973154362416134,-3.402684563758387,,,,,,,,,Hold (Hala Buy),False,False
0.2672,0.2675,0.2253,0.2388,38301497.0,2024-11-20 11:00:00+03:00,2024-11-20 14:59:59.999000+03:00,,,,-104.18693405204564,-2.604673351301141,,,0.0,-5.0,,,0.2253,0.3083,16.265060240963866,-3.3734939759036138,,,,,,,,,Hold (Hala Buy),False,False
0.2388,0.245,0.2226,0.2316,24366251.0,2024-11-20 15:00:00+03:00,2024-11-20 18:59:59.999000+03:00,,,,-79.98470569527908,-1.999617642381977,,,0.0,-5.0,,,0.2226,0.304,11.056511056511066,-3.894348894348893,,,,,,,,,Hold (Hala Buy),False,False
0.2311,0.235,0.2051,0.2207,25375409.0,2024-11-20 19:00:00+03:00,2024-11-20 22:59:59.999000+03:00,,,,-73.64522732847483,-1.8411306832118708,,,0.0,-5.0,,,0.2051,0.304,15.773508594539944,-3.4226491405460053,,,,,,,,,Hold (Hala Buy),False,False
0.2215,0.2397,0.2197,0.2377,10454199.0,2024-11-20 23:00:00+03:00,2024-11-21 02:59:59.999000+03:00,,,,-5.6139102971464805,-0.140347757428662,,,23.513139695712297,-2.6486860304287703,,,0.2051,0.28,43.524699599465926,-0.6475300400534074,,,,,,,,,Hold (Hala Buy),False,False
0.2377,0.2395,0.2059,0.22,12725203.0,2024-11-21 03:00:00+03:00,2024-11-21 06:59:59.999000+03:00,,,,-72.13040901161321,-1.8032602252903305,,,21.013597033374523,-2.8986402966625477,,,0.2051,0.2675,23.87820512820512,-2.612179487179488,,,,,,,,,Hold (Hala Buy),False,False
0.2201,0.2239,0.2121,0.2155,10334221.0,2024-11-21 07:00:00+03:00,2024-11-21 10:59:59.999000+03:00,,,,-69.56727222056567,-1.739181805514142,,,29.66841186736474,-2.033158813263526,,,0.2051,0.245,26.065162907268157,-2.3934837092731844,,,,,,,,,Hold (Hala Buy),False,False
0.2155,0.2736,0.214,0.2613,42695490.0,2024-11-21 11:00:00+03:00,2024-11-21 14:59:59.999000+03:00,,,,106.68227517254236,2.6670568793135594,-1.2589693300103524,-0.8507797150202245,65.48488008342022,1.5484880083420225,-3.447999681334758,-0.9979783949337788,0.2051,0.2736,82.04379562043792,3.2043795620437923,-1.76460113639299,-0.9430146777254692,-0.9305909292264908,,,,,,Hold (Hala Buy),False,False
0.2612,0.2758,0.2367,0.2407,47388500.0,2024-11-21 15:00:00+03:00,2024-11-21 18:59:59.999000+03:00,,,,20.641261904332556,0.5160315476083139,-0.9946166939889952,-0.7593240201705556,59.469696969696976,0.9469696969696976,-2.787225270560347,-0.9924415545827504,0.2059,0.2758,49.78540772532189,-0.0214592274678111,-1.840383275165222,-0.9508319198355856,-0.9008658315296304,,,,,,Hold (Hala Buy),False,False
